"ISBN";"nb.Ratings";"mean";"sd";"max";"min";"med"
"038082101X";26;7.38;1.63;10;4;8
"038529929X";26;7.19;2.55;10;2;8
"038531258X";15;8.2;1.7;10;5;9
"038531292X";10;6.9;2.18;10;4;7
"038531700X";11;8;1.84;10;4;9
"038533334X";29;7;1.75;10;4;7
"038533348X";11;9.09;0.7;10;8;9
"038533558X";14;8.86;0.86;10;8;9
"038533656X";12;6.58;1.62;9;3;6.5
"038542017X";28;7.64;1.77;10;2;8
"038542471X";20;8;1.03;10;6;8
"038548951X";20;8.8;0.89;10;7;9
"038549081X";29;8.72;1.25;10;6;9
"038550120X";39;7.77;1.99;10;1;8
"038550926X";31;7.23;1.56;10;4;7
"038572179X";33;7.58;1.7;10;3;8
"039304016X";10;8.4;1.26;10;7;8
"039480001X";14;9.5;0.94;10;7;10
"039592720X";29;8.69;1.34;10;5;9
"039914465X";15;6.93;1.39;9;5;7
"039914563X";9;7.78;1.92;10;5;9
"039914613X";11;8.09;1.58;10;5;8
"039914739X";13;4.85;1.86;9;2;5
"039914840X";11;8.55;1.57;10;5;9
"039915079X";11;6.91;1.3;9;5;7
"042510107X";22;7.45;1.92;10;3;8
"042510687X";14;7.64;1.22;10;5;8
"042511774X";22;7.68;1.94;10;2;8
"042513525X";26;7.31;1.74;10;4;8
"042513699X";17;7.76;1.25;10;5;8
"042516098X";25;6.56;1.83;9;1;7
"042517736X";16;6.25;1.57;9;2;6.5
"042518109X";8;8;1.07;9;7;8
"042518286X";19;7.37;1.86;10;4;8
"042518630X";18;7.67;2.45;10;2;8.5
"043935806X";108;8.95;1.42;10;4;10
"043936213X";26;9.23;1.27;10;5;10
"044020562X";10;7.5;2.07;10;3;8
"044021145X";115;7.82;1.77;10;1;8
"044022103X";28;7.36;1.77;10;4;8
"044022165X";73;7.42;1.81;10;3;8
"044022425X";19;9.37;1.07;10;6;10
"044023722X";111;7.31;1.91;10;1;8
"044048474X";14;8.14;1.56;10;5;8
"044651652X";71;7.35;2.27;10;1;8
"044651862X";39;7.31;2.39;10;2;8
"044652087X";17;8.24;1.68;10;5;8
"044661064X";17;7.76;1.71;10;5;8
"044661095X";11;5.64;1.96;8;2;5
"044661162X";18;6.89;1.6;9;3;7
"044661193X";25;7.44;1.66;10;3;8
"044900371X";16;7.88;2;10;4;8
"044922046X";15;7.73;1.79;10;5;7
"048627263X";8;7.62;1.41;10;6;7.5
"051510566X";14;6.86;1.61;10;5;7
"051511779X";21;8;1.61;10;5;8
"051511992X";23;7.87;1.58;10;5;8
"051512219X";15;7.53;2;10;4;8
"051512317X";19;7.89;1.94;10;3;8
"051512608X";22;6.59;1.92;10;3;7
"051513287X";50;8.12;1.67;10;5;8
"051513628X";27;7.78;1.72;10;5;8
"052594527X";13;8.54;1.27;10;7;9
"055321313X";30;8.9;1.65;10;2;9.5
"055321330X";13;7.31;2.32;10;2;8
"055328942X";13;7.38;2.9;10;3;8
"055337933X";11;7.64;1.63;10;5;8
"055356160X";20;7.7;1.45;10;5;8
"055356451X";30;7.77;1.68;10;4;8
"055356773X";11;7.45;1.75;10;5;7
"055357227X";17;7;2.21;9;3;8
"055357230X";18;7.33;1.57;10;5;7
"055357258X";19;7.89;1.45;10;6;7
"055358264X";7;8.29;0.95;10;7;8
"059030271X";11;8;2.14;10;5;9
"059035342X";146;8.96;1.49;10;1;9.5
"060980619X";14;7.57;2.34;10;3;8
"067088300X";36;6.94;1.57;10;2;7
"067100042X";17;7.71;1.83;10;5;8
"067101420X";22;6.91;2.02;10;4;7
"067102423X";44;8.14;1.69;10;5;8
"067102535X";14;7.86;1.75;10;5;8
"067103619X";14;7.07;1.38;9;5;7
"067164257X";13;7.77;2.01;10;5;8
"067168390X";20;9.35;0.75;10;8;9.5
"067169507X";21;7.95;1.96;10;5;8
"067172262X";13;8.62;1.89;10;4;10
"067976397X";24;7.96;1.81;10;3;8
"067976402X";112;7.65;2.08;10;1;8
"068483376X";19;8.05;2.32;10;1;9
"068484267X";53;8.34;1.89;10;2;9
"068484477X";65;8.11;1.32;10;4;8
"068487217X";14;8.21;1.63;10;5;9
"074322423X";11;8.27;1.9;10;5;9
"074322535X";20;8.05;1.67;10;4;8
"074343627X";32;7.88;2.21;10;1;8.5
"076790382X";17;8.06;1.71;10;4;8
"076790592X";17;8.82;1.13;10;7;9
"080213825X";22;5.73;2.41;10;1;5
"080410526X";51;8.16;1.62;10;5;9
"080410753X";48;7.88;1.38;10;5;8
"080411109X";47;8.09;1.6;10;2;8
"080411868X";32;7.47;1.81;10;4;7.5
"080411918X";13;7.08;1.38;9;5;7
"080411935X";19;7.84;1.71;10;4;8
"081297106X";14;8.64;1.55;10;5;9
"084232920X";10;8.6;1.65;10;5;9
"084233226X";21;8.19;1.4;10;6;8
"089480829X";33;8.36;1.62;10;5;9
"140003065X";30;8.27;1.78;10;1;8.5
"1400031346";29;8.48;1.35;10;5;9
"1400031354";58;8.69;1.22;10;5;9
"1400031362";28;8.61;1.2;10;6;9
"140003180X";16;8.25;1.24;10;7;8
"1400032717";24;8.62;1.24;10;6;9
"1400033543";10;7.9;1.1;9;5;8
"1400034779";86;8;1.69;10;3;8
"140039589";10;8;2.11;10;3;8
"140042393";12;9.5;1;10;7;10
"140042520";7;8.29;2.14;10;4;8
"140042598";26;7.96;2.29;10;3;9
"140053204";15;8.33;2.26;10;2;9
"140067477";56;7.93;1.88;10;2;8
"140067779";13;7.92;1.5;10;5;8
"140077022";14;7.43;1.83;10;4;7
"140092323";13;6.85;1.77;9;4;7
"140119906";28;7.75;1.51;10;4;8
"140131558";11;7.91;1.58;10;5;8
"140143505";16;9.62;0.5;10;9;10
"140177396";19;8.53;1.39;10;5;8
"140179836";20;8.15;1.27;10;6;8
"140185216";17;7.71;1.69;10;6;7
"140186409";15;8.4;1.88;10;4;9
"140230165";14;8.07;2.23;10;3;8.5
"140244824";33;6.55;2;10;2;7
"140254544";20;8.4;1.57;10;4;9
"140257934";20;7.9;1.52;10;6;7.5
"140258795";19;7.95;1.68;10;5;8
"140265686";15;8.13;1.55;10;5;8
"140270590";14;8.43;1.4;10;6;8
"140276904";12;6.17;2.12;9;1;6
"140280553";22;7.05;1.84;10;4;7
"140282033";15;8.2;1.32;10;5;8
"140293248";81;6.74;1.69;10;2;7
"140296298";12;7.42;1.93;10;4;8
"140298479";59;7.81;1.72;10;3;8
"140374248";8;8;1.41;10;6;8
"140386335";18;9;1.33;10;5;9
"140386645";17;8.18;1.91;10;4;8
"140430725";17;8.41;2.03;10;3;9
"140440046";20;7.8;1.79;10;4;8
"140481346";9;5.11;2.76;10;1;5
"140481389";15;7.67;1.54;10;5;8
"140620222";14;8.79;1.48;10;5;9
"140620338";11;7.82;1.33;10;6;8
"140620427";12;8.42;1.56;10;5;8.5
"141000198";38;7.5;1.84;10;1;8
"141007338";11;7.91;1.3;10;5;8
"141301155";8;8.62;2.07;10;4;9.5
"142000205";64;7.55;1.5;10;4;8
"142000663";14;8.86;1.41;10;6;9.5
"142001430";51;8.31;1.32;10;6;9
"142001740";158;8.42;1.52;10;3;9
"142001805";41;8.34;1.57;10;3;9
"142001821";13;7.62;1.61;10;4;8
"142002267";19;8.05;1.27;10;5;8
"142003727";16;7.94;1.06;10;6;8
"142004235";28;8.75;1.94;10;1;9
"151002290";10;7.8;1.4;10;5;8
"151008116";44;8.25;1.45;10;5;8.5
"1550548913";7;8.57;1.27;10;7;9
"1551665301";13;7.85;1.46;10;5;8
"155166674X";14;8.07;2.16;10;2;9
"1551666839";16;7.56;1.79;10;4;7.5
"1551668653";15;7;2.48;10;2;8
"1551668912";18;8.44;1.62;10;5;9
"1551668998";16;8.31;1.08;10;7;8
"1558531025";21;8.19;1.75;10;4;9
"155874262X";48;7.77;2.01;10;2;8
"1558743316";14;7.64;2.5;10;1;8
"1558743669";59;7.81;2.06;10;1;8
"1558744150";38;7.95;1.59;10;5;8
"155874424X";11;8.18;1.47;10;5;8
"1558744592";14;8;1.57;10;5;7.5
"1558744606";9;6.78;1.56;10;5;7
"1558744630";24;7.46;2.65;10;2;8.5
"1558745017";18;8.44;1.72;10;5;8.5
"1558745157";42;8.05;1.79;10;4;8
"1558745718";26;7.85;1.62;10;5;8
"1558746161";13;7.77;2.2;10;5;8
"1558746226";11;7.45;2.21;10;5;7
"1558747109";10;8.7;2.06;10;5;10
"1559029838";23;7.52;1.86;10;4;8
"156001314";16;8.38;1.93;10;2;9
"156005891";19;7.95;1.27;10;5;8
"156006529";13;7.69;1.6;10;5;8
"156007479";18;7.94;1.59;10;5;8
"156007754";22;8.45;1.41;10;5;9
"156011042";10;6;2.05;9;2;6.5
"156012197";12;9.25;1.48;10;5;10
"156027321";113;7.96;1.75;10;2;8
"156028778";19;6.63;2.79;10;1;7
"1565122968";21;7.19;1.54;10;4;8
"156528207";25;8.96;1.27;10;6;9
"156628708";23;6.65;2.06;10;3;7
"156711427";9;7.11;1.76;9;4;8
"1573221112";13;8.62;1.61;10;5;9
"1573221937";22;7.09;1.15;10;6;7
"1573222267";6;6.67;1.37;9;5;6.5
"1573225517";28;8.36;1.39;10;5;8.5
"1573225789";43;8.19;1.67;10;5;8
"1573226521";18;8.22;1.4;10;5;9
"1573227331";24;7.46;1.56;10;5;7
"1573228214";17;7.18;1.59;10;4;7
"157322930X";10;5.9;1.37;8;4;5.5
"1573229326";47;6.89;1.56;10;3;7
"1573229571";32;7.97;2.04;10;2;8.5
"1573229725";20;9.1;0.97;10;7;9
"1576737330";25;7.16;2.36;10;2;8
"1592400876";41;8.59;1.14;10;6;8
"1844262553";1;8;NA;8;8;8
"1853260002";9;7.56;2.92;10;2;9
"1853260010";13;8.31;1.03;10;7;9
"1853260207";12;7.92;1.93;10;5;8
"1853261580";9;8.11;2.8;10;1;9
"1857022424";13;8.46;1.2;10;6;8
"1878424114";14;7.21;2.78;10;1;8.5
"1878424319";25;6.84;2.85;10;2;7
"1880418568";13;9.23;1.01;10;7;10
"193156146X";15;9.53;0.64;10;8;10
"1931561648";18;8.56;1.76;10;4;9
"20199600";13;8.46;1.05;10;7;9
"20442203";15;8.73;1.22;10;7;9
"2070360024";10;8.4;1.26;10;7;8
"2253150711";12;8.33;1.23;10;6;8.5
"2290311782";14;7.71;1.14;9;5;8
"28604199";21;7.62;1.53;10;5;8
"310205719";12;7.92;3.15;10;1;9.5
"312144075";11;7.82;2.04;10;5;8
"312147015";11;8.36;1.29;10;6;9
"312150601";9;8;1.66;10;5;8
"312171838";15;7.73;1.67;10;5;8
"312195516";164;8.32;1.59;10;3;9
"312199430";21;8.05;1.94;10;3;8
"312201656";19;8;1.86;10;4;8
"312205406";12;8.33;1.37;10;5;8.5
"312243022";36;7.31;1.83;10;3;7.5
"312244266";15;7.33;1.35;10;5;7
"312263120";22;7.36;1.76;10;3;8
"312265840";19;8;1.8;10;4;9
"312265859";33;8.27;1.38;10;5;8
"312265867";35;8.46;1.42;10;5;9
"312272057";7;7.43;1.27;9;5;8
"312274920";27;7.89;1.15;10;5;8
"312275420";7;7.71;0.76;9;7;8
"312278586";101;7.4;1.94;10;1;8
"312282990";34;8.26;1.97;10;3;9
"312283709";20;7.4;1.96;10;3;8
"312284683";16;8.06;1.81;10;5;9
"312291639";79;7.18;1.77;10;2;7
"312305060";61;7.66;1.97;10;1;8
"312306326";31;7.29;2.02;10;2;8
"312421273";22;6.64;2.63;10;1;7
"312422156";34;8.53;1.33;10;3;9
"312924585";65;8.35;1.41;10;5;9
"312924801";21;7.57;1.78;10;5;8
"312925883";14;8.21;2.08;10;4;9
"312952716";15;8;1.69;10;5;8
"312955006";12;7.83;1.53;10;5;8
"312961324";12;8.25;1.82;10;5;8.5
"312966091";53;8.08;1.22;10;5;8
"312966806";19;8;1.37;10;5;8
"312966970";71;8.08;1.33;10;5;8
"312971125";15;7.4;1.55;10;5;7
"312971346";52;8.37;1.36;10;4;8.5
"312974256";23;7.7;1.64;10;4;8
"312976275";44;7.61;1.82;10;2;8
"312978367";10;8;2;10;5;8.5
"312978383";15;8.13;1.6;10;5;8
"312979096";22;7.64;1.53;10;4;8
"312979479";13;8.23;1.79;10;3;9
"312980140";60;8.12;1.53;10;3;8
"312980159";25;7.48;1.45;9;4;8
"312982518";16;7.5;1.59;10;5;8
"312983271";54;7.09;1.67;10;4;7
"312983298";19;6.79;2.37;10;1;7
"312983301";22;6.95;1.53;9;3;7
"312983824";30;7.17;1.72;10;4;7
"312983867";33;7.85;1.86;10;3;8
"312986343";19;7;1.91;10;2;7
"312990456";41;8.51;1.57;10;2;9
"312995423";35;7.91;1.65;10;3;8
"316089699";18;8.11;1.53;10;5;8.5
"316096199";69;8.29;1.54;10;4;8
"316143464";14;8.29;1.44;10;5;8.5
"316153915";12;7.33;1.07;9;5;7.5
"316154059";15;8;1.31;10;5;8
"316168688";26;8.5;1.45;10;6;9
"316168815";23;8.39;1.56;10;5;9
"316182540";22;8.41;1.05;10;6;8.5
"316284955";74;7.88;1.85;10;1;8
"316569321";61;7.36;1.94;10;1;8
"316601950";119;7.58;1.73;10;3;8
"316602051";20;7.75;1.59;10;5;8
"316602906";26;8.12;1.7;10;3;9
"316603287";29;7.24;2.25;10;2;7
"316603570";23;8.13;1.6;10;4;8
"316666009";29;7.52;1.82;10;5;8
"316666343";291;8.22;1.61;10;1;8
"316678104";20;7.95;2.06;10;2;8
"316690619";25;6.8;2.42;10;2;7
"316693006";40;8.5;1.5;10;4;9
"316693200";32;7.72;1.82;10;4;8
"316693235";25;7.68;1.77;10;5;8
"316693251";28;8.18;1.68;10;5;8.5
"316693286";14;7.93;1.07;9;5;8
"316693294";21;8;1.26;10;5;8
"316693324";14;7.43;1.6;10;4;8
"316734837";14;8.07;1.49;10;6;8
"316769487";116;7.72;2.33;10;1;8
"316769509";14;7.64;2.06;10;2;8
"316776963";81;8.35;1.58;10;3;9
"316777722";31;7.81;2.01;10;3;8
"316777730";38;8.13;1.51;10;3;8
"316779237";18;8.06;2.13;10;2;9
"316779423";21;7.62;1.83;10;4;8
"316779490";16;7.81;2.04;10;3;8
"316780375";30;7.4;1.52;10;4;8
"316780812";19;8.21;1.4;10;5;8
"316781010";22;7.59;1.59;10;5;7
"316781142";29;6.86;1.96;10;2;7
"316781266";37;6.84;1.83;10;4;7
"316782262";16;6.94;1.84;10;3;7.5
"316782505";27;7.85;1.1;10;5;8
"316788228";23;7.7;1.72;10;3;8
"316789089";29;7.79;1.84;10;2;8
"316789976";11;6.64;1.63;9;3;7
"316899984";34;6.79;1.81;10;2;7
"316969443";35;7.54;2.32;10;2;8
"316969680";35;7.29;2.15;10;1;7
"325722575X";14;7.93;1.44;10;5;8
"3257228007";11;7.91;2.77;10;1;9
"3257229534";7;6.86;1.95;10;4;7
"330262130";13;8.54;0.97;10;7;9
"330267388";16;8.81;1.22;10;6;9
"330332775";35;7.14;2.1;10;1;7
"330375253";11;8.27;1.68;10;5;9
"3379015180";7;6.71;2.36;10;3;7
"3404148665";11;8.36;2.46;10;2;10
"3423202327";13;7.62;1.39;10;5;8
"3423202947";8;7.38;1.06;9;6;7
"3442541751";15;7;1.77;10;3;7
"345301110";19;7.58;1.61;10;5;7
"345303067";19;7.21;1.58;9;5;7
"345313860";84;7.92;1.72;10;3;8
"345314255";20;7.8;2.21;10;1;8
"345325818";24;8.21;1.93;10;5;9
"345333926";12;8.25;1.14;10;7;8
"345334531";19;6.63;2.03;10;3;6
"345335465";21;8.52;1.12;10;6;8
"345335511";16;7.38;1.41;10;5;7.5
"345337662";136;7.74;1.79;10;2;8
"345338588";19;8.47;1.39;10;5;9
"345339681";76;8.8;1.9;10;3;10
"345339703";62;8.85;1.68;10;4;10
"345339711";52;9.25;1.03;10;6;10
"345339738";50;9.44;1.15;10;5;10
"345342968";78;8.78;1.38;10;5;9
"345347536";15;7.73;1.58;10;5;8
"345348036";41;9;1.32;10;4;9
"345348109";20;8.5;1.91;10;4;9
"345350472";13;7.77;1.42;10;5;8
"345350499";50;8.56;1.55;10;4;9
"345350685";14;8.5;1.4;10;6;9
"345351525";54;7.28;1.86;10;2;7.5
"345353145";73;7.68;1.4;10;5;8
"345354613";24;7.67;1.69;10;5;7
"345354621";19;7.26;1.45;9;4;7
"345361792";83;8.6;1.77;10;1;9
"345362861";11;8.45;1.44;10;6;9
"345366239";18;7.94;2.18;10;1;9
"345368754";16;7.62;1.96;10;4;8
"345368932";12;7.58;1.78;10;5;7.5
"345369947";34;8.15;1.42;10;4;8
"345370775";114;7.77;1.53;10;3;8
"345370805";22;7.09;1.57;9;4;7
"345378482";39;7.56;1.54;10;5;7
"345378490";62;7.05;1.46;10;4;7
"345380371";54;7.35;1.4;10;5;7.5
"345384350";21;7.52;1.54;10;4;8
"345384369";21;8.05;1.75;10;5;8
"345384377";15;7.4;1.55;10;5;8
"345384466";49;8;1.41;10;4;8
"345386108";18;7;1.71;10;5;7
"345386132";12;7.58;2.02;10;5;7.5
"345387651";49;7.47;1.83;10;4;8
"345389417";14;7.79;1.25;10;6;8
"345389964";15;7.13;1.73;10;5;7
"345391055";46;7.35;1.85;10;1;8
"345391802";41;8.34;1.78;10;4;9
"345391810";17;8.24;1.64;10;3;8
"345392825";18;7.89;1.81;10;5;8
"345396936";18;7.94;2.04;10;3;9
"345397819";23;7.78;2;10;2;8
"345402871";36;7.56;1.68;10;3;8
"345404114";22;6.95;1.79;10;3;7
"345404319";22;7.82;1.87;10;5;8
"345404475";11;8.45;0.69;10;8;8
"345404769";10;7.6;1.78;10;5;8
"345404793";13;7.23;1.48;9;5;8
"345409469";11;7.55;2.62;10;3;9
"345409671";17;7.71;2.08;10;3;8
"345409973";12;8.5;0.8;10;8;8
"345413350";36;8.08;1.96;10;3;8.5
"345413369";27;8.74;1.46;10;5;9
"345413377";18;8.67;1.5;10;5;9
"345413865";10;7.2;1.48;9;5;7.5
"345413873";28;7.04;1.73;10;3;7
"345413881";17;7.88;1.22;10;5;8
"345413903";31;7.74;1.44;10;4;8
"345416260";24;7.88;2.23;10;1;8
"345416880";11;7.82;1.33;10;6;7
"345417623";84;8.12;1.81;10;3;8.5
"345418018";11;7.45;1.63;10;5;7
"345422317";12;7.42;1.68;10;4;8
"345422384";18;7;1.71;9;3;7.5
"345423135";13;7.15;1.95;10;4;8
"345423291";19;8;1.33;10;5;8
"345423402";28;7.61;1.89;10;2;8
"345423615";12;7.58;1.93;10;4;7.5
"345424719";29;8.34;1.52;10;4;9
"345425707";14;7.21;1.76;9;3;7.5
"345427637";23;6.96;2.42;10;1;7
"345433491";13;7.69;1.25;10;6;8
"345434803";15;7.33;2.47;10;2;8
"345435028";11;7.91;1.04;9;6;8
"345435168";27;7.52;1.34;10;4;8
"345435249";12;7.08;1.93;9;3;7.5
"345435796";11;6.82;2.4;10;3;7
"345436911";26;7.62;1.58;10;4;8
"345438329";48;7.56;1.49;10;4;8
"345439104";45;7.64;1.45;10;4;8
"345441036";25;8.12;1.9;10;2;8
"345441133";10;7.5;1.35;10;5;7
"345441265";16;7.62;0.62;9;7;8
"345442768";7;7.29;1.6;10;5;7
"345442822";14;7.79;1.12;10;6;8
"345443284";53;6.98;1.76;10;3;7
"345444884";28;8.29;1.76;10;2;8
"345445848";24;7.42;1.59;10;4;7.5
"345446666";11;8.09;1.3;9;5;9
"345446860";32;7.41;1.36;10;5;8
"345447840";22;7.95;1.53;10;5;8
"345447867";11;7.36;1.43;9;6;7
"345449347";13;6.46;1.98;9;2;7
"345450892";9;8.22;1.2;10;7;8
"345452534";20;8.3;1.22;10;5;8
"345452550";17;7.18;2.04;10;3;8
"345452569";15;7.93;1.39;10;6;8
"345453387";12;7.5;1.51;10;5;8
"345453816";14;7.86;1.35;10;5;8
"345459202";17;7.94;1.64;10;5;8
"345465083";24;8.46;1.61;10;4;9
"349101779";17;8.59;1.54;10;6;9
"3492045170";15;7.4;1.3;10;5;7
"3548359698";8;7.12;1.46;10;5;7
"3596259924";10;8.5;1.43;10;7;8.5
"373218036";23;7.61;1.73;10;5;8
"373218192";24;7.5;1.47;10;5;8
"373218397";23;6.96;1.64;10;2;7
"373218400";20;6.75;1.8;10;4;7
"373218486";12;6.33;1.87;10;5;5.5
"373218966";14;6.93;1.14;8;5;7
"373243790";11;8.27;1.56;10;5;8
"373244487";15;7.07;1.16;9;5;7
"373250118";16;7.06;1.24;10;5;7
"373250126";19;7;1.56;10;5;7
"373250134";13;6.85;2.3;9;1;8
"373483503";15;7.87;1.64;10;5;8
"373483694";15;6.87;1.85;10;4;7
"373484003";18;8;1.33;10;5;8
"373484224";22;7.14;1.46;10;5;7
"373484232";16;7.5;2.5;10;1;8.5
"373484410";18;7.06;1.55;10;4;7
"373484429";13;7.69;1.89;10;4;8
"373825013";15;6.93;2.34;10;3;7
"374100128";17;6.65;1.66;10;5;7
"374129983";25;7.6;2.2;10;2;8
"374172897";11;8.18;1.6;10;5;8
"374199698";25;8.52;1.53;10;3;9
"374270325";12;6.58;1.38;9;5;7
"374281602";16;6.56;2.06;9;2;6.5
"374480095";14;8.21;1.19;10;6;8
"374525641";12;8.58;1.44;10;6;8.5
"375400117";24;8.5;1.67;10;5;8.5
"375401598";10;7.1;1.85;10;5;7
"375406182";13;7.38;1.71;10;4;8
"375406530";14;7.36;1.5;10;5;8
"375411550";11;6.91;2.34;10;2;8
"375412530";28;7.14;1.63;10;4;7.5
"375412824";24;7.58;1.77;10;3;8
"375413634";16;7.69;1.2;10;6;8
"375414053";17;7.59;1.33;10;5;8
"375500510";22;8.14;1.36;10;5;8
"375502025";13;7.92;1.89;10;5;8
"375502238";29;7.69;1.79;10;3;8
"375504397";32;7.75;2.08;10;2;8
"375504613";24;7.88;1.42;10;5;8
"375506039";29;7.07;1.51;10;3;7
"375506276";13;7.31;1.93;10;5;7
"375700757";57;7.58;1.77;10;4;8
"375701907";14;8.79;1.25;10;6;9
"375702709";34;7.82;1.66;10;5;8
"375703055";37;7.89;1.74;10;4;8
"375703063";30;7;1.84;10;2;7
"375703764";22;8.82;1.33;10;6;9
"375703861";34;7.29;1.85;10;3;7
"375705198";19;7.37;1.46;10;4;7
"375705856";37;7.78;1.42;10;4;8
"375706062";9;8.56;1.01;10;7;8
"375706410";18;7.72;1.36;10;5;7.5
"375706771";86;7.83;1.72;10;3;8
"375707972";67;7.4;1.9;10;3;8
"375719180";14;7.93;1.38;10;5;8
"375724370";9;8;1.87;10;5;9
"375725784";65;7.28;2.16;10;2;8
"375725849";16;8.69;1.4;10;5;9
"375726349";11;7.27;1.42;10;5;7
"375726403";69;7.94;1.45;10;4;8
"375727132";25;7.12;1.42;9;4;7
"375727345";91;7.59;1.58;10;2;8
"375756981";27;7.78;2.1;10;2;8
"375758992";18;7.94;1.76;10;3;8
"375760911";22;6.77;2.14;9;2;8
"375826688";15;8.73;1.22;10;6;9
"380001411";18;8;1.68;10;5;8
"380002930";56;8.68;1.73;10;4;9
"380005239";11;8.09;2.59;10;1;9
"380012863";33;8.09;1.57;10;5;8
"380018179";40;8.22;1.56;10;4;8
"380600129";14;7.57;1.87;10;5;8
"380702843";18;8.61;1.58;10;5;9
"380703882";17;7.18;1.81;10;4;7
"380710218";36;8.06;1.66;10;3;8
"380714752";14;8.14;1.03;10;7;8
"380717018";21;7.95;1.63;10;5;8
"380718332";34;8.24;1.35;10;6;8.5
"380718340";46;8.33;1.35;10;5;8
"380721643";18;7.5;1.5;10;4;8
"380722704";12;7.33;1.78;10;4;8
"380723638";12;7.67;1.23;10;6;7.5
"380725835";13;7.46;1.66;10;5;8
"380726238";8;6.88;2.85;10;1;8
"380727501";21;8.33;1.24;10;5;8
"380728133";18;7.44;1.82;10;3;8
"380730138";44;6.91;1.81;10;3;7
"380730847";16;7.56;1.09;9;5;8
"380731851";61;7.8;1.29;10;5;8
"380778556";20;7.55;1.9;10;3;8
"380788624";16;8.44;2.1;10;2;9
"380789019";53;8.09;1.57;10;2;8
"380789035";62;8.02;1.58;10;1;8
"380792745";14;7.71;1.54;10;4;8
"380804557";14;7.93;1.44;10;5;8
"380804697";10;6.7;1.42;9;4;7
"380805995";11;7.73;1.49;10;5;8
"380807343";20;8.15;1.79;10;5;8
"380813815";37;8.84;1.09;10;5;9
"380814021";20;8.45;1.28;10;6;9
"380816547";12;8.17;1.47;10;5;8.5
"380817691";15;7.87;1.77;10;4;8
"380820293";16;8.19;1.17;10;6;8
"380820447";17;7.53;1.33;10;5;7
"380820889";12;8.17;0.94;10;7;8
"380973545";15;7.93;1.62;10;5;8
"380973650";13;8.54;1.05;10;7;8
"380977788";36;8.08;1.61;10;4;8
"380978415";15;8.6;0.91;10;7;8
"385199570";16;8.88;1.5;10;5;9.5
"385265700";63;7.46;1.87;10;1;8
"385314698";14;7.5;1.16;9;6;8
"385315236";18;7.39;1.42;10;4;7.5
"385318073";9;8.44;1.59;10;6;9
"385318782";10;7;2.36;10;3;8
"385319207";13;8.31;1.55;10;5;9
"385324057";21;7.38;2.16;10;3;8
"385333412";13;7;1.68;10;4;7
"385334036";14;6.93;2.2;10;1;7
"385335482";86;7.86;1.73;10;2;8
"385335830";25;7.6;1.5;10;4;8
"385335881";60;8.13;1.55;10;3;8
"385336179";44;8.2;1.62;10;5;8
"385336810";17;8.29;1.72;10;5;9
"385337116";13;7.62;1.33;9;5;8
"385337639";14;8.29;1.27;10;6;8
"385413041";9;7.56;1.81;10;5;7
"385418493";19;8.11;1.15;10;6;8
"385420161";27;8.41;1.58;10;3;8
"385421982";11;9;1.41;10;6;10
"385424728";31;7.58;1.52;10;4;7
"385424736";28;7.43;1.55;10;5;7
"385425473";11;8.73;1.35;10;6;8
"385472943";21;8.33;1.59;10;5;9
"385472951";32;7.53;1.81;10;4;8
