"ISBN";"nb.Ratings";"mean";"sd";"max";"min";"med"
"156007754";24;8.54;1.44;10;5;9
"156011042";12;6.5;2.24;10;2;7
"156012197";11;9.18;1.54;10;5;10
"156027321";114;8.15;1.6;10;2;8
"156028778";23;7;2.28;10;2;7
"1565122968";22;7.45;1.57;10;4;8
"156528207";20;9.25;1.12;10;6;10
"156628708";20;7;2.08;10;3;7.5
"156711427";11;7.09;1.97;10;4;8
"1573221112";13;8.23;1.54;10;5;8
"1573221937";17;6.53;2;10;2;7
"1573222267";11;7.27;1.19;9;5;8
"1573225517";30;8.33;1.27;10;5;8
"1573225789";46;8.41;1.44;10;5;8
"1573226521";14;8.36;1.5;10;4;9
"1573227331";24;7.42;1.5;10;5;7
"1573228214";19;7.47;1.74;10;4;7
"157322930X";10;6.6;1.84;10;5;6
"1573229326";45;6.58;1.74;10;1;7
"1573229571";27;8.22;2.1;10;2;9
"1573229725";20;8.75;1.21;10;6;9
"1576737330";28;7.04;1.97;10;2;7.5
"1592400876";28;8.68;1.12;10;6;8.5
"1853260002";NA;NA;NA;NA;NA;NA
"1853260010";11;7.73;2.72;10;2;9
"1853260207";11;8.27;1.19;10;7;8
"1853261580";10;7.2;1.48;9;5;7.5
"1857022424";9;8.11;2.8;10;1;9
"1878424114";15;8.47;1.51;10;5;9
"1878424319";15;6.93;2.58;10;1;7
"1880418568";31;7.39;2.64;10;2;8
"193156146X";15;9.13;0.99;10;7;9
"1931561648";15;9.47;0.64;10;8;10
"20199600";18;8.83;1.2;10;7;9
"20442203";12;8.25;1.14;10;6;8.5
"2070360024";11;8.82;1.25;10;7;9
"2253150711";14;8.43;1.16;10;7;8.5
"2290311782";12;8;1.21;10;6;8
"28604199";10;7.5;1.35;9;5;7.5
"310205719";20;7.75;1.65;10;5;8
"312144075";16;8.12;2.87;10;1;10
"312147015";14;8.43;1.74;10;5;9
"312150601";13;8.62;1.19;10;6;9
"312171838";11;7.82;1.47;10;5;8
"312195516";14;7.36;1.65;10;5;7.5
"312199430";166;8.4;1.71;10;2;9
"312201656";23;8.13;2.14;10;3;9
"312205406";16;8.44;1.5;10;4;8.5
"312243022";14;8.36;1.34;10;5;8
"312244266";36;7.25;2.02;10;3;7.5
"312263120";19;7.37;1.38;10;5;7
"312265840";23;7.26;1.86;10;3;8
"312265859";24;8.29;1.43;10;5;9
"312265867";30;8.07;1.55;10;4;8
"312272057";36;8.67;1.24;10;6;9
"312274920";10;7.3;0.67;8;6;7
"312275420";25;7.8;1.19;10;5;8
"312278586";10;7.1;1.29;9;5;7
"312282990";89;7.28;2.01;10;1;8
"312283709";38;8.29;2.08;10;3;9
"312284683";14;7.36;2.17;10;3;8
"312291639";13;8.31;1.38;10;5;9
"312305060";82;7.33;1.6;10;2;7
"312306326";59;7.92;1.66;10;3;8
"312421273";35;7.63;1.73;10;4;8
"312422156";28;7.29;2.27;10;1;8
"312924585";29;8.55;1.38;10;3;9
"312924801";52;8.35;1.22;10;5;9
"312925883";15;7.2;2.14;10;5;7
"312952716";11;8.09;2.21;10;4;9
"312955006";13;8.08;1.61;10;5;8
"312961324";15;8.13;1.41;10;5;8
"312966091";15;8.07;1.67;10;5;8
"312966806";58;8.05;1.29;10;5;8
"312966970";16;7.94;1.61;10;4;8
"312971125";60;8.23;1.33;10;5;8
"312971346";16;7.31;1.58;10;5;7
"312974256";52;8.35;1.44;10;4;9
"312976275";23;7.52;1.7;10;4;8
"312978367";53;7.66;1.79;10;2;8
"312978383";12;8.42;1.78;10;5;9
"312979096";18;8.06;1.7;10;5;8
"312979479";20;7.85;1.57;10;4;8
"312980140";10;8.1;1.97;10;3;9
"312980159";54;8.26;1.47;10;5;8.5
"312982518";23;7.87;1.29;10;5;8
"312983271";16;7.44;1.21;9;5;7.5
"312983298";53;6.94;1.85;10;2;7
"312983301";22;6.77;2.31;10;1;7.5
"312983824";21;7.29;1.49;10;3;8
"312983867";33;7.42;1.48;10;4;8
"312986343";39;7.82;1.75;10;3;8
"312990456";24;6.96;2.07;10;2;7
"312995423";33;8.7;1.53;10;2;9
"316089699";39;7.72;1.85;10;1;8
"316096199";15;8.2;1.37;10;5;9
"316143464";70;8.27;1.51;10;4;8
"316153915";11;8.73;1.56;10;5;9
"316154059";13;7.23;1.42;10;5;7
"316168688";15;7.67;1.4;9;5;8
"316168815";31;8.39;1.45;10;6;8
"316182540";26;8.23;2.12;10;1;9
"316284955";23;8.52;0.9;10;7;9
"316569321";79;7.81;1.86;10;1;8
"316601950";65;7.43;1.95;10;1;8
"316602051";116;7.45;1.84;10;3;8
"316602906";22;7.95;1.53;10;5;8
"316603287";25;8.24;1.71;10;3;9
"316603570";30;7.27;2.39;10;2;8
"316666009";23;8.13;1.55;10;4;8
"316666343";31;7.77;1.45;10;5;8
"316678104";283;8.25;1.54;10;2;8
"316690619";17;8.18;2.07;10;2;8
"316693006";28;6.86;2.43;10;2;7.5
"316693200";39;8.46;1.62;10;4;9
"316693235";33;7.61;1.68;10;4;8
"316693251";24;7.58;1.79;10;5;8
"316693286";23;7.96;1.8;10;5;8
"316693294";18;8.06;1.11;10;5;8
"316693324";21;8.05;1.28;10;5;8
"316734837";15;7.93;1.39;10;5;8
"316769487";12;7.5;1.45;10;6;7
"316769509";113;7.53;2.46;10;1;8
"316776963";9;8.11;2.57;10;2;8
"316777722";80;8.06;1.69;10;3;8
"316777730";27;7.81;1.9;10;3;8
"316779237";37;8.3;1.18;10;6;8
"316779423";20;8.2;2.35;10;2;9
"316779490";20;7.65;1.87;10;4;8
"316780375";16;8.25;1.61;10;5;9
"316780812";29;7.38;1.57;10;4;7
"316781010";18;8;1.5;10;5;8
"316781142";24;7.83;1.66;10;5;7
"316781266";31;6.94;2.13;10;2;7
"316782262";37;7.27;1.73;10;4;7
"316782505";15;6.87;1.88;10;3;7
"316788228";22;7.77;1.27;10;5;8
"316789089";33;7.91;1.72;10;3;8
"316789976";26;7.73;1.64;10;2;8
"316899984";11;7.55;1.29;10;5;7
"316969443";36;7.03;1.73;10;2;7
"316969680";31;7.52;2.23;10;2;8
"325722575X";34;7.24;1.81;10;1;7
"3257228007";9;8;1.32;10;5;8
"3257229534";9;9.22;1.09;10;7;10
"330262130";12;7.67;2.1;10;4;8
"330267388";14;8.43;1.6;10;4;8.5
"330332775";13;8.85;1.28;10;6;9
"330375253";34;7.24;2.19;10;1;7
"3379015180";13;8.31;1.6;10;5;8
"3404148665";4;6;2.94;10;3;5.5
"3423202327";11;8.73;1.27;10;7;8
"3423202947";14;7.71;1.38;10;5;8
"3442541751";11;8.09;1.51;10;6;9
"345301110";9;6.78;1.39;9;5;6
"345303067";22;7.5;1.34;10;5;7
"345313860";16;7.38;1.45;9;5;7.5
"345314255";78;8.09;1.68;10;3;8
"345325818";21;7.52;2.62;10;1;8
"345333926";18;8.17;1.98;10;5;9
"345334531";15;8.6;1.18;10;7;8
"345335465";19;6.95;2.17;10;3;7
"345335511";16;7.88;1.71;10;3;8
"345337662";15;7.73;1.44;10;5;8
"345338588";133;7.72;1.69;10;2;8
"345339681";15;8.13;1.64;10;5;9
"345339703";76;8.86;1.76;10;3;10
"345339711";67;8.76;1.85;10;2;10
"345339738";48;9.25;1.12;10;6;10
"345342968";51;9.31;1.22;10;5;10
"345347536";77;8.69;1.42;10;5;9
"345348036";13;7.92;1.5;10;5;8
"345348109";39;8.79;1.66;10;2;9
"345350472";14;8.14;1.75;10;4;8
"345350499";17;7.76;1.48;10;5;8
"345350685";50;8.68;1.49;10;5;9
"345351525";15;8.73;1.22;10;6;9
"345353145";54;7.31;1.92;10;2;8
"345354613";78;7.6;1.42;10;5;8
"345354621";21;7.19;1.86;10;4;7
"345361792";23;7.57;1.27;10;5;8
"345362861";85;8.53;1.78;10;1;9
"345366239";12;8.25;1.48;10;5;8.5
"345368754";18;7.67;2.28;10;1;9
"345368932";19;7.79;1.78;10;4;8
"345369947";15;7.47;1.51;10;5;7
"345370775";30;8.1;1.45;10;4;8
"345370805";108;7.74;1.61;10;3;8
"345378482";19;7.16;1.54;9;4;7
"345378490";34;8.03;1.36;10;5;8
"345380371";57;7.05;1.46;10;4;7
"345384350";56;7.18;1.43;10;4;7
"345384369";24;7.75;1.7;10;4;8
"345384377";27;8.15;1.9;10;4;8
"345384466";15;7.4;1.55;10;5;8
"345386108";54;7.63;1.81;10;3;8
"345386132";21;6.81;1.63;10;5;7
"345387651";11;7.55;2.07;10;5;8
"345389417";46;7.35;1.78;10;4;8
"345389964";14;8;1.11;10;6;8
"345391055";15;7.4;1.8;10;5;8
"345391802";41;7.37;1.87;10;1;8
"345391810";29;8.17;2.09;10;2;8
"345392825";16;8.69;0.95;10;7;8.5
"345396936";16;7.31;1.85;10;4;7.5
"345397819";14;8;2.15;10;3;9
"345402871";24;7.71;2.05;10;2;8
"345404114";38;7.68;1.51;10;4;8
"345404319";24;7.29;1.73;10;3;7.5
"345404475";23;7.48;1.53;10;5;8
"345404769";15;8.47;0.99;10;7;8
"345404793";11;7.18;1.54;9;5;7
"345409469";11;7.45;1.69;10;5;8
"345409671";14;7.71;2.46;10;3;9
"345409973";22;7.82;1.82;10;5;8
"345413350";14;8;1.36;10;5;8
"345413369";31;8.19;1.7;10;3;8
"345413377";22;8.55;1.37;10;5;9
"345413865";19;8.53;1.43;10;5;9
"345413873";7;7.43;1.27;9;5;8
"345413881";24;7.42;1.69;10;3;7.5
"345413903";16;7.62;1.63;10;5;8
"345416260";29;8.24;1.38;10;5;8
"345416880";23;8.13;2.2;10;1;9
"345417623";11;7.73;1.9;10;4;7
"345418018";96;7.83;2.02;10;3;8
"345422317";10;7.4;1.65;10;5;7
"345422384";11;7.09;1.81;10;4;8
"345423135";22;7.27;1.67;10;3;8
"345423291";13;7.46;2.07;10;4;8
"345423402";16;7.69;1.7;10;3;8
"345423615";22;7.27;2.23;10;2;8
"345424719";13;7.08;1.93;10;4;7
"345425707";32;8.03;1.58;10;4;8
"345427637";10;7.1;2.02;9;3;8
"345433491";27;7.04;2.28;10;1;7
"345434803";12;7.67;1.07;9;6;8
"345435028";14;7.86;1.66;10;5;8
"345435168";12;7.83;1.34;9;5;8
"345435249";25;7.16;1.46;9;3;8
"345435796";14;7.29;1.86;9;3;8
"345436911";11;7.55;1.97;10;4;8
"345438329";30;7.5;1.72;10;2;8
"345439104";44;7.73;1.5;10;4;8
"345441036";40;7.67;1.61;10;3;8
"345441133";27;8;1.96;10;2;8
"345441265";9;7.33;1.22;9;5;7
"345442768";13;7.69;0.85;9;6;8
"345442822";10;6.6;1.71;10;4;7
"345443284";13;8.08;1.38;10;6;8
"345444884";52;7.15;1.67;10;3;7
"345445848";27;8;2.2;10;2;8
"345446666";31;7.55;1.41;10;4;8
"345446860";10;8;1.7;10;5;8.5
"345447840";23;7.09;1.44;9;5;7
"345447867";19;8;1.33;10;5;8
"345449347";22;7.64;1.68;10;5;8
"345450892";12;6.33;1.97;8;2;7
"345452534";12;8.58;1.38;10;7;8.5
"345452550";14;8.07;1.38;10;5;8
"345452569";19;7.42;2.12;10;3;8
"345453387";16;7.81;1.56;10;5;8
"345453816";13;7.08;1.32;9;5;8
"345459202";14;7.86;1.46;10;5;8
"345465083";15;8.07;1.67;10;5;8
"349101779";25;8.48;1.53;10;4;9
"3492045170";14;7.86;2.57;10;1;9
"3548359698";16;7.25;1.34;10;5;7
"3596259924";9;6.89;1.54;10;5;7
"373218036";9;7.89;1.76;10;5;7
"373218192";20;7.2;1.74;10;5;7
"373218397";24;7.29;1.68;10;4;8
"373218400";28;7.04;1.62;10;2;7
"373218486";14;6.93;1.77;10;4;7
"373218966";15;7;1.89;10;5;7
"373243790";14;6.5;1.29;8;5;7
"373244487";14;8;1.71;10;5;8
"373250118";16;7.44;1.31;10;5;7.5
"373250126";14;7;1.3;10;5;7
"373250134";18;7.11;1.81;10;5;7
"373483503";8;7;2.56;9;1;7.5
"373483694";19;8.21;1.51;10;5;9
"373484003";16;7.12;2.16;10;4;7
"373484224";22;7.86;1.49;10;5;8
"373484232";20;7.15;1.84;10;3;7.5
"373484410";15;7.73;2.05;10;5;8
"373484429";22;7.64;1.62;10;5;8
"373825013";12;8.17;1.27;10;6;8
"374100128";16;7.06;1.91;10;5;7.5
"374129983";19;6.37;1.8;10;3;6
"374172897";25;7.48;2.18;10;2;8
"374199698";12;8.58;1.44;10;5;9
"374270325";23;8.09;1.98;10;3;9
"374281602";12;6.83;1.59;9;5;7
"374480095";19;6.58;1.95;9;2;7
"374525641";15;8.33;1.23;10;6;8
"375400117";16;8.69;1.3;10;6;9
"375401598";21;8.95;1.12;10;7;9
"375406182";14;6.43;1.5;9;5;6.5
"375406530";11;7.36;1.86;10;4;8
"375411550";13;7;1.53;9;5;7
"375412530";13;6.62;2.06;9;2;8
"375412824";27;7.26;1.53;10;4;8
"375413634";25;7.8;1.83;10;3;8
"375414053";17;7.47;1.42;10;4;8
"375500510";22;7.64;1.47;10;5;8
"375502025";22;8.27;1.49;10;5;8
"375502238";13;7.31;1.8;10;5;7
"375504397";25;7.44;1.78;10;3;8
"375504613";27;7.7;2.07;10;3;8
"375506039";20;7.85;1.18;10;6;8
"375506276";34;7.18;1.45;10;3;7
"375700757";12;7.17;1.59;10;5;7
"375701907";54;7.63;2.07;10;1;8
"375702709";13;8.77;1.3;10;6;9
"375703055";41;7.59;1.61;10;5;8
"375703063";37;7.57;1.79;10;4;8
"375703764";24;7.04;1.83;10;2;7
"375703861";23;8.35;1.64;10;5;8
"375705198";30;7.63;2.01;10;3;8
"375705856";14;7.71;1.2;10;6;7.5
"375706062";30;7.87;1.46;10;4;8
"375706410";12;7.92;1.08;10;6;8
"375706771";18;7.83;1.38;10;5;8
"375707972";86;7.78;1.78;10;3;8
"375719180";67;7.31;1.72;10;3;8
"375724370";14;7.43;1.6;10;4;7.5
"375725784";5;7.4;2.41;10;4;8
"375725849";59;7.27;2.24;10;2;8
"375726349";17;8.82;0.95;10;7;9
"375726403";8;7;1.31;9;5;7
"375727132";65;7.77;1.62;10;3;8
"375727345";24;7.42;1.32;9;4;8
"375756981";99;7.49;1.64;10;2;8
"375758992";28;7.46;2.19;10;2;8
"375760911";16;8.12;1.26;10;5;8
"375826688";31;7.23;1.98;10;2;8
"380001411";16;8.94;0.77;10;8;9
"380002930";21;8.33;1.62;10;5;8
"380005239";52;8.5;1.71;10;4;9
"380012863";11;8;2.57;10;1;9
"380018179";31;8.29;1.49;10;5;8
"380600129";36;7.92;1.78;10;4;8
"380702843";15;7.73;2.05;10;5;8
"380703882";12;8.83;1.4;10;5;9
"380710218";14;6.64;1.78;10;4;6.5
"380714752";31;8.23;1.5;10;5;8
"380717018";14;8.07;1.33;10;5;8
"380718332";29;7.52;1.98;10;1;8
"380718340";29;8.14;1.36;10;6;8
"380721643";34;8.29;1.31;10;5;8
"380722704";19;7.16;2.09;10;1;8
"380723638";13;6.92;1.75;10;4;7
"380725835";13;7.46;1.05;9;6;8
"380726238";18;7.61;1.82;10;4;8
"380727501";10;7;2.67;10;1;8
"380728133";25;8.12;1.64;10;3;8
"380730138";20;7.75;1.92;10;3;8
"380730847";42;6.76;1.71;10;3;7
"380731851";15;7.6;0.63;9;7;8
"380778556";56;7.7;1.43;10;3;8
"380788624";22;7.68;2.03;10;3;8
"380789019";18;8.5;2.01;10;2;9
"380789035";59;8.2;1.53;10;2;8
"380792745";70;8.01;1.53;10;1;8
"380804557";15;7.47;1.68;10;4;7
"380804697";14;8.07;1.33;10;5;8
"380805995";13;7;1.41;9;4;7
"380807343";11;7.36;1.03;8;5;8
"380813815";21;8.43;1.5;10;5;8
"380814021";35;8.77;1.35;10;5;9
"380816547";20;7.8;1.4;10;5;8
"380817691";14;7.79;1.58;10;5;8
"380820293";17;7.59;1.73;10;4;8
"380820447";16;7.81;1.33;10;6;8
"380820889";15;7.6;1.06;10;6;8
"380973545";14;8.14;0.86;10;7;8
"380973650";11;8.36;1.5;10;6;9
"380977788";15;8.27;1.33;10;5;8
"380978415";37;8.03;1.52;10;4;8
"385199570";15;8.47;0.92;10;7;8
"385265700";23;8.83;1.56;10;5;9
"385314698";60;7.55;1.63;10;3;8
"385315236";12;7.58;1.08;9;6;7.5
"385318073";14;7.64;1.65;10;4;8
"385318782";11;7.91;1.92;10;4;8
"385319207";15;7.87;2.2;10;3;8
"385324057";14;8.29;1.86;10;3;8.5
"385333412";19;7.11;2.23;10;3;8
"385334036";13;6.92;1.55;9;4;7
"385335482";11;6.82;2.4;10;1;7
"385335830";84;7.9;1.62;10;4;8
"385335881";29;7.55;1.62;10;4;8
"385336179";52;8.4;1.58;10;3;9
"385336810";43;7.86;1.61;10;5;8
"385337116";18;8.33;1.61;10;5;9
"385337639";16;7.25;1.44;9;4;7.5
"385413041";11;8.36;1.63;10;6;9
"385418493";12;8.17;1.47;10;6;8
"385420161";17;7.88;1.27;10;5;8
"385421982";32;8.38;1.54;10;3;8.5
"385424728";16;8.81;1.22;10;6;9
"385424736";26;7.69;1.52;10;4;7.5
"385425473";27;7.63;1.57;10;4;8
"385472943";14;8.79;1.25;10;6;8.5
"385472951";21;8.29;1.62;10;5;9
