"ISBN";"nb.Ratings";"mean";"sd";"max";"min";"med"
"042518109X";5;7.2;0.45;8;7;7
"042518286X";22;7.14;1.81;10;4;8
"042518630X";16;8;2.34;10;2;8.5
"043935806X";131;9.05;1.34;10;4;10
"043936213X";25;9.08;1.41;10;5;10
"044020562X";13;7.69;2.21;10;3;8
"044021145X";121;7.9;1.73;10;1;8
"044022103X";27;7.59;1.6;10;4;8
"044022165X";74;7.38;1.62;10;4;8
"044022425X";22;8.77;1.45;10;5;9
"044023722X";123;7.24;1.95;10;1;8
"044048474X";15;7.93;1.33;10;5;8
"044651652X";71;7.7;2.21;10;1;8
"044651862X";44;7.18;2.32;10;2;8
"044652087X";15;8.27;1.67;10;5;8
"044661064X";14;7.71;1.73;10;5;8
"044661095X";9;5.56;2.74;10;2;5
"044661162X";14;7.5;1.4;9;5;8
"044661193X";23;7.57;1.8;10;3;8
"044900371X";24;7.62;1.86;10;4;8
"044922046X";15;7.27;1.58;10;5;7
"048627263X";8;7.62;1.41;10;6;7.5
"051510566X";16;6.69;1.82;10;3;7
"051511779X";18;8.11;1.57;10;5;8
"051511992X";23;7.65;1.5;10;5;8
"051512219X";13;6.62;2.29;10;3;6
"051512317X";21;8.19;1.83;10;3;9
"051512608X";24;7.04;1.81;10;4;7
"051513287X";50;8.2;1.71;10;4;8.5
"051513628X";32;7.84;1.72;10;5;8
"052594527X";10;9;1.33;10;7;10
"055321313X";34;8.91;1.69;10;2;9.5
"055321330X";15;7.4;2.16;10;2;8
"055328942X";10;6.4;2.99;10;3;6
"055337933X";11;8.09;1.76;10;5;8
"055356160X";24;7.79;1.61;10;5;8
"055356451X";29;7.79;1.63;10;4;8
"055356773X";12;7.75;1.66;10;5;7.5
"055357227X";13;7.15;2.15;9;3;8
"055357230X";15;7;1.65;10;5;7
"055357258X";20;7.8;1.61;10;5;7
"055358264X";11;7.36;1.43;10;5;8
"059030271X";17;8.24;1.86;10;5;9
"059035342X";144;9.07;1.44;10;1;10
"060980619X";12;7.92;2.07;10;4;8
"067088300X";40;6.8;1.54;10;2;7
"067100042X";13;7.15;1.68;10;5;7
"067101420X";21;6.24;1.79;9;4;6
"067102423X";38;8.11;1.59;10;5;8
"067102535X";18;7.78;1.63;10;5;8
"067103619X";11;7.27;1.1;9;5;7
"067164257X";16;7.88;2.13;10;3;8
"067168390X";15;9.13;0.83;10;8;9
"067169507X";21;8;1.95;10;5;8
"067172262X";10;8.6;2.07;10;4;10
"067976397X";22;8.09;1.87;10;3;8.5
"067976402X";113;7.63;2.1;10;1;8
"068483376X";14;7.86;2.57;10;1;8.5
"068484267X";49;8.51;1.75;10;2;9
"068484477X";63;8.13;1.4;10;4;8
"068487217X";16;8.31;1.58;10;5;9
"074322423X";10;7.5;2.46;10;3;8
"074322535X";22;7.55;2.15;10;1;8
"074343627X";31;8.29;1.42;10;5;9
"076790382X";19;7.63;1.67;10;4;8
"076790592X";13;8.85;1.21;10;7;9
"080213825X";21;5.43;2.04;9;1;5
"080410526X";51;8.1;1.64;10;5;8
"080410753X";60;8.1;1.3;10;5;8
"080411109X";44;8;1.73;10;2;8
"080411868X";29;7.66;1.84;10;4;8
"080411918X";11;7;1.67;9;4;7
"080411935X";21;7.71;1.59;10;4;8
"081297106X";15;8.8;1.37;10;5;9
"084232920X";16;8.38;1.75;10;5;9
"084233226X";23;8.3;1.64;10;5;9
"089480829X";35;8.29;1.69;10;5;9
"140003065X";25;8.56;1.23;10;5;9
"1400031346";28;8.54;1.1;10;6;8
"1400031354";60;8.67;1.22;10;5;9
"1400031362";25;8.84;1.11;10;6;9
"140003180X";16;8.12;1.02;10;7;8
"1400032717";28;8.54;1.26;10;6;9
"1400033543";15;7.8;1.01;9;5;8
"1400034779";90;8.1;1.57;10;3;8
"140039589";9;7.56;2.3;10;3;8
"140042393";14;8.64;1.82;10;5;9.5
"140042520";9;8.67;2;10;4;10
"140042598";24;7.92;2.19;10;3;9
"140053204";13;8.38;1.61;10;5;9
"140067477";58;8.12;1.72;10;3;8
"140067779";13;8.08;1.44;10;5;8
"140077022";12;7.83;1.64;10;5;7.5
"140092323";18;7.11;1.6;9;4;7
"140119906";30;7.8;1.56;10;4;8
"140131558";11;7.82;1.72;10;5;8
"140143505";14;9.64;0.5;10;9;10
"140177396";24;8.46;1.32;10;5;8
"140179836";18;7.83;1.69;10;3;8
"140185216";16;7.94;1.77;10;6;7.5
"140186409";14;7.36;2.21;10;3;8
"140230165";14;7.79;2.04;10;3;8
"140244824";30;6.47;1.91;9;2;7
"140254544";23;8.48;1.5;10;4;9
"140257934";18;7.94;1.51;10;6;7.5
"140258795";17;7.82;1.7;10;5;8
"140265686";17;8.06;1.48;10;5;8
"140270590";12;8.08;1.56;10;6;8
"140276904";17;6.35;2;9;1;6
"140280553";20;7.25;1.83;10;4;7.5
"140282033";11;7.73;1.56;10;5;8
"140293248";74;6.61;1.82;10;2;7
"140296298";12;7.75;1.82;10;4;8
"140298479";63;7.68;1.71;10;3;8
"140374248";14;8.86;1.29;10;7;9.5
"140386335";15;9.07;0.88;10;7;9
"140386645";14;8.29;1.64;10;5;8
"140430725";17;8.94;1.14;10;6;9
"140440046";19;7.63;2.17;10;4;8
"140481346";13;5.92;2.72;10;1;6
"140481389";17;7.76;1.56;10;5;8
"140620222";15;8.87;1.46;10;5;9
"140620338";10;7.8;1.32;10;6;8
"140620427";12;8.17;1.53;10;5;8
"141000198";33;7.58;1.92;10;1;8
"141007338";12;7.83;1.27;10;5;8
"141301155";10;8.6;0.97;10;7;8.5
"142000205";63;7.65;1.59;10;3;8
"142000663";16;9;1.26;10;6;9.5
"142001430";45;8.31;1.35;10;6;8
"142001740";148;8.42;1.5;10;2;9
"142001805";32;8.41;1.58;10;3;8
"142001821";13;8;1;10;6;8
"142002267";20;8.2;1.15;10;6;8
"142003727";14;8.21;1.12;10;6;8.5
"142004235";35;8.91;1.77;10;1;9
"151002290";9;7.67;1;9;6;8
"151008116";43;8.33;1.43;10;5;8
"1550548913";13;8.46;1.13;10;7;8
"1551665301";11;8.09;1.3;10;6;8
"155166674X";15;7.93;2.12;10;2;9
"1551666839";18;7.78;1.56;10;5;8
"1551668653";15;6.53;2.2;10;2;7
"1551668912";12;8.33;1.72;10;5;9
"1551668998";13;8.54;1.2;10;7;8
"1558531025";18;7.56;1.69;10;4;8
"155874262X";51;7.86;2.07;10;2;8
"1558743316";18;7.56;2.36;10;1;7.5
"1558743669";67;7.79;2.04;10;1;8
"1558744150";40;8.07;1.42;10;5;8
"155874424X";12;8.5;1.45;10;5;9
"1558744592";12;8.58;1.38;10;7;8.5
"1558744606";12;7.67;1.83;10;5;7.5
"1558744630";21;7.62;2.38;10;2;8
"1558745017";19;8.42;1.87;10;5;9
"1558745157";41;8.39;1.59;10;5;9
"1558745718";23;8.35;1.43;10;5;8
"1558746161";11;8.18;2.32;10;3;9
"1558746226";13;8;1.78;10;5;8
"1558747109";13;8;2.2;10;5;9
"1559029838";27;7.81;1.82;10;4;8
"156001314";11;8.91;0.7;10;8;9
"156005891";15;7.87;1.46;10;5;8
"156006529";15;7.4;1.72;10;4;8
"156007479";14;8.43;1.16;10;7;8
"156007754";24;8.79;1.06;10;7;9
"156011042";11;6.73;2.2;10;2;7
"156012197";13;9.31;1.44;10;5;10
"156027321";123;8.02;1.65;10;2;8
"156028778";23;6.7;2.42;10;1;7
"1565122968";17;7.65;1.54;10;5;8
"156528207";30;8.93;1.34;10;6;9.5
"156628708";21;7.05;1.94;10;3;7
"156711427";13;7.08;1.89;10;4;8
"1573221112";14;8.21;1.53;10;5;8
"1573221937";24;6.62;1.74;10;2;7
"1573222267";10;7.1;1.1;8;5;7.5
"1573225517";22;8.36;1.33;10;6;8
"1573225789";48;8;1.65;10;5;8
"1573226521";18;8.06;1.7;10;4;9
"1573227331";27;7.52;1.65;10;5;8
"1573228214";21;7.57;1.8;10;4;7
"157322930X";12;6.25;1.86;10;4;5.5
"1573229326";51;6.82;1.63;10;1;7
"1573229571";32;8.12;2;10;2;9
"1573229725";18;8.61;1.24;10;6;8.5
"1576737330";23;7.17;2.29;10;2;8
"1592400876";36;8.42;1.16;10;6;8
"1844262553";1;8;NA;8;8;8
"1853260002";11;7.82;2.75;10;2;9
"1853260010";10;8.9;0.88;10;7;9
"1853260207";12;7.92;1.93;10;5;8
"1853261580";7;9.14;0.9;10;8;9
"1857022424";14;8.14;1.41;10;5;8
"1878424114";15;7.87;2.07;10;4;9
"1878424319";25;7.2;2.55;10;2;8
"1880418568";14;9.21;0.97;10;7;9.5
"193156146X";10;9.5;0.71;10;8;10
"1931561648";16;8.81;1.83;10;4;10
"20199600";15;8.27;1.22;10;6;9
"20442203";15;9.33;0.98;10;7;10
"2070360024";15;8.67;1.11;10;7;9
"2253150711";12;8;1.28;10;6;8
"2290311782";13;8;0.91;9;6;8
"28604199";19;7.74;1.66;10;5;8
"310205719";16;8.62;2.55;10;1;10
"312144075";13;8.54;1.51;10;5;9
"312147015";12;8.42;1.31;10;6;8.5
"312150601";12;7.42;1.51;10;5;7
"312171838";15;8.07;1.67;10;5;8
"312195516";178;8.25;1.7;10;2;9
"312199430";21;8.48;1.6;10;4;9
"312201656";18;8.06;1.89;10;4;8
"312205406";14;8.5;1.34;10;5;9
"312243022";32;7.06;1.93;10;3;7
"312244266";20;7.35;1.18;9;5;7.5
"312263120";21;7.14;1.93;10;3;8
"312265840";19;8.26;1.69;10;4;9
"312265859";29;8.34;1.32;10;4;8
"312265867";29;8.48;1.53;10;5;9
"312272057";10;7;1.05;9;5;7
"312274920";26;7.88;1.11;10;6;8
"312275420";6;6.5;1.22;8;5;7
"312278586";91;7.33;1.95;10;1;8
"312282990";42;8.31;1.88;10;3;9
"312283709";16;7.5;1.97;10;3;8
"312284683";16;8.06;1.84;10;5;8.5
"312291639";83;7.17;1.6;10;3;7
"312305060";60;7.4;2.02;10;1;8
"312306326";32;7.28;1.87;10;2;8
"312421273";25;6.8;2.55;10;1;7
"312422156";33;8.36;1.64;10;3;9
"312924585";57;8.44;1.27;10;5;9
"312924801";20;7.1;1.65;10;5;7.5
"312925883";13;8.31;2.14;10;4;9
"312952716";14;7.71;1.64;10;5;8
"312955006";15;8.07;1.44;10;5;8
"312961324";14;7.57;2.03;10;5;7.5
"312966091";61;8.2;1.18;10;5;8
"312966806";18;7.56;1.58;10;4;8
"312966970";60;8.12;1.28;10;5;8
"312971125";17;7.53;1.59;10;5;7
"312971346";51;8.25;1.34;10;4;8
"312974256";16;7.69;1.66;10;4;8
"312976275";41;7.66;1.78;10;2;8
"312978367";9;7.89;2.09;10;5;8
"312978383";15;7.93;1.44;10;5;8
"312979096";22;7.73;1.49;10;4;8
"312979479";10;8.7;0.95;10;7;9
"312980140";53;7.87;1.68;10;3;8
"312980159";24;7.83;1.37;10;4;8
"312982518";16;7.44;1.36;10;5;7.5
"312983271";56;6.96;1.73;10;2;7
"312983298";22;7.09;2.24;10;1;8
"312983301";21;7.19;1.57;10;3;8
"312983824";33;7.3;1.67;10;4;8
"312983867";33;8.36;1.54;10;4;8
"312986343";24;6.96;1.68;10;3;7
"312990456";37;8.43;1.57;10;2;9
"312995423";35;7.71;1.76;10;1;8
"316089699";18;7.78;1.59;10;5;8
"316096199";72;8.38;1.43;10;4;8.5
"316143464";17;8.18;1.55;10;5;9
"316153915";14;7.5;1.45;10;5;8
"316154059";16;7.94;1.29;10;5;8
"316168688";26;8.42;1.42;10;6;8.5
"316168815";22;8.14;2.19;10;1;8.5
"316182540";19;8.37;1.07;10;6;9
"316284955";76;8.03;1.76;10;1;8
"316569321";59;7.37;1.86;10;3;7
"316601950";116;7.6;1.79;10;3;8
"316602051";13;7.15;1.72;10;5;7
"316602906";24;8.46;1.41;10;5;9
"316603287";25;7.24;2.44;10;2;8
"316603570";16;8.38;1.41;10;6;8.5
"316666009";32;7.38;1.64;10;5;8
"316666343";299;8.25;1.61;10;1;9
"316678104";19;8.32;2.06;10;2;9
"316690619";23;6.74;2.26;10;2;7
"316693006";34;8.82;1.31;10;5;9
"316693200";27;7.56;1.8;10;5;7
"316693235";24;7.54;1.77;10;5;8
"316693251";22;8.18;1.37;10;5;8
"316693286";14;8.36;0.84;10;7;8
"316693294";22;8;1.23;10;5;8
"316693324";17;7.71;1.69;10;4;8
"316734837";17;7.88;1.41;10;6;8
"316769487";114;7.61;2.41;10;1;8
"316769509";14;8.36;1.45;10;6;8
"316776963";84;8.13;1.64;10;4;8
"316777722";27;7.93;1.9;10;4;8
"316777730";43;8.26;1.45;10;3;8
"316779237";23;8.26;2.18;10;2;9
"316779423";19;7.47;1.81;10;4;8
"316779490";15;7.67;2.13;10;3;8
"316780375";28;7.36;1.16;10;5;8
"316780812";19;8.21;1.13;10;6;8
"316781010";14;7.86;1.46;10;6;7
"316781142";23;6.96;1.99;10;2;7
"316781266";42;6.86;1.7;10;4;7
"316782262";16;7;1.59;10;4;7
"316782505";27;7.89;1.28;10;5;8
"316788228";29;8;1.75;10;3;9
"316789089";30;7.97;1.52;10;3;8
"316789976";14;7.14;1.79;10;3;7
"316899984";30;7.07;1.84;10;2;7
"316969443";36;7.75;2.12;10;2;8
"316969680";35;7.51;1.9;10;2;8
"325722575X";12;8.25;1.29;10;6;8
"3257228007";8;7.88;3.27;10;1;9.5
"3257229534";12;8.08;1.88;10;5;8.5
"330262130";15;8.53;1.55;10;4;9
"330267388";13;8.92;1.04;10;7;9
"330332775";32;7.59;1.95;10;1;8
"330375253";12;8.25;1.36;10;6;8.5
"3379015180";7;7.29;2.63;10;3;7
"3404148665";9;8.22;2.54;10;2;8
"3423202327";11;7.91;1.3;10;6;8
"3423202947";10;7.8;1.55;10;6;7
"3442541751";13;7.08;1.89;10;3;7
"345301110";20;7.35;1.5;10;5;7
"345303067";15;7.33;1.59;9;5;8
"345313860";83;7.87;1.57;10;3;8
"345314255";21;7.57;2.06;10;3;8
"345325818";17;8.06;1.89;10;5;8
"345333926";15;8.73;1.1;10;7;9
"345334531";22;6.91;2.2;10;3;7.5
"345335465";20;8.3;1.63;10;3;8
"345335511";15;7.8;1.57;10;5;8
"345337662";128;7.62;1.8;10;2;8
"345338588";14;8.07;1.77;10;5;9
"345339681";72;8.72;1.79;10;3;9
"345339703";67;8.94;1.7;10;2;10
"345339711";43;9.09;1.13;10;6;9
"345339738";49;9.35;1.23;10;5;10
"345342968";87;8.77;1.37;10;5;9
"345347536";14;7.5;1.51;10;5;7
"345348036";37;8.84;1.83;10;2;10
"345348109";15;8.4;2.06;10;4;9
"345350472";14;7.86;1.29;10;5;8
"345350499";43;8.6;1.51;10;4;9
"345350685";12;8.42;1.51;10;6;8.5
"345351525";59;7.36;1.82;10;2;7
"345353145";73;7.38;1.44;10;5;7
"345354613";26;7.19;1.92;10;4;7
"345354621";23;7.3;1.43;10;4;7
"345361792";81;8.68;1.78;10;1;9
"345362861";13;8.08;1.55;10;5;8
"345366239";18;7.61;2.25;10;1;8.5
"345368754";19;7.95;1.65;10;4;8
"345368932";16;7.81;1.68;10;5;8
"345369947";28;8.32;1.22;10;6;8
"345370775";107;7.83;1.58;10;3;8
"345370805";19;6.89;1.79;9;4;7
"345378482";41;7.56;1.52;10;5;8
"345378490";54;7.26;1.39;10;4;7
"345380371";59;7.42;1.44;10;4;8
"345384350";25;7.64;1.52;10;5;8
"345384369";24;8.12;1.8;10;4;8
"345384377";14;7.64;1.39;10;5;8
"345384466";52;7.73;1.82;10;3;8
"345386108";25;7.12;1.69;10;5;7
"345386132";10;7.3;1.83;10;5;7.5
"345387651";39;7.56;1.68;10;5;8
"345389417";13;7.77;1.24;10;6;8
"345389964";19;7.32;1.67;10;5;7
"345391055";40;7.42;1.5;10;3;8
"345391802";39;8.38;1.97;10;2;9
"345391810";18;8.22;1.63;10;3;8
"345392825";22;7.73;1.91;10;4;8
"345396936";13;8.62;1.33;10;6;9
"345397819";24;7.75;1.98;10;2;8
"345402871";34;7.53;1.5;10;3;8
"345404114";23;7.57;1.47;10;4;8
"345404319";26;7.5;1.63;10;5;7.5
"345404475";15;8.6;0.99;10;7;9
"345404769";13;7.38;1.61;10;5;7
"345404793";12;7.58;1.56;10;5;8
"345409469";13;8.15;2.19;10;5;9
"345409671";19;7.37;1.95;10;3;8
"345409973";11;7.82;1.4;10;5;8
"345413350";34;7.91;1.99;10;3;8
"345413369";23;8.43;1.59;10;5;9
"345413377";19;9;1.2;10;6;9
"345413865";9;7.44;1.33;9;5;8
"345413873";25;6.88;1.59;10;5;7
"345413881";21;7.95;1.36;10;5;8
"345413903";38;8.05;1.54;10;4;8
"345416260";23;8.17;1.7;10;4;9
"345416880";8;7.5;2;10;4;7.5
"345417623";87;7.74;1.95;10;3;8
"345418018";11;7.55;1.63;10;5;7
"345422317";11;7.09;1.87;10;4;8
"345422384";15;6.87;1.85;10;3;7
"345423135";8;6.38;2.07;10;4;5.5
"345423291";21;7.81;1.6;10;3;8
"345423402";25;7.88;1.94;10;2;8
"345423615";9;7;1.87;10;4;7
"345424719";29;8.14;1.55;10;4;8
"345425707";15;7.2;1.7;9;3;7
"345427637";21;7.62;1.8;10;4;8
"345433491";9;8;1.41;10;6;8
"345434803";14;7.14;2.51;10;2;8
"345435028";12;7.83;1.34;9;5;8
"345435168";28;7.25;1.58;10;3;8
"345435249";10;7.9;0.74;9;7;8
"345435796";11;7.09;1.97;9;3;8
"345436911";30;7.37;1.85;10;2;8
"345438329";50;7.72;1.5;10;4;8
"345439104";44;7.89;1.56;10;3;8
"345441036";26;8.54;1.33;10;5;9
"345441133";12;7.67;1.3;10;5;7.5
"345441265";16;7.62;0.72;9;6;8
"345442768";7;6.29;1.38;8;4;7
"345442822";11;8.36;1.36;10;6;8
"345443284";49;7.16;1.8;10;3;7
"345444884";29;8.41;1.9;10;2;9
"345445848";29;7.55;1.45;10;4;8
"345446666";15;8.07;1.49;10;5;9
"345446860";32;7.44;1.39;10;5;8
"345447840";24;8.04;1.52;10;5;8
"345447867";19;7.63;1.71;10;5;8
"345449347";10;6.7;1.95;9;2;7
"345450892";10;8.6;1.35;10;7;8.5
"345452534";17;8.29;0.85;10;7;8
"345452550";14;7.14;2.03;10;3;7.5
"345452569";17;7.88;1.58;10;5;8
"345453387";16;7.44;1.5;10;5;8
"345453816";16;8;1.46;10;5;8
"345459202";20;8.2;1.58;10;5;8
"345465083";21;8.95;1.12;10;7;9
"349101779";18;8.17;2.33;10;1;9
"3492045170";16;7.56;1.55;10;5;8
"3548359698";8;7;1.6;10;5;7
"3596259924";6;8.67;1.97;10;5;9.5
"373218036";21;7.24;1.84;10;5;7
"373218192";29;7.45;1.76;10;4;8
"373218397";26;7.35;1.41;10;5;7.5
"373218400";15;6.73;1.94;10;4;7
"373218486";16;6.75;1.95;10;5;6
"373218966";15;6.67;1.29;8;5;7
"373243790";12;8.08;1.73;10;5;8
"373244487";15;7.47;1.25;10;6;7
"373250118";14;6.79;0.97;8;5;7
"373250126";21;7.24;1.55;10;5;7
"373250134";11;6.45;2.3;9;1;7
"373483503";16;8.06;1.48;10;5;8
"373483694";14;7.5;1.79;10;5;7.5
"373484003";20;7.95;1.36;10;5;8
"373484224";20;7.15;1.93;10;3;7.5
"373484232";17;7.59;2.45;10;1;9
"373484410";21;7.48;1.75;10;4;8
"373484429";12;7.5;1.62;10;4;8
"373825013";13;6.46;2.03;10;3;6
"374100128";16;6.31;1.74;10;3;6.5
"374129983";24;7.83;2.14;10;2;8
"374172897";9;8.56;1.01;10;7;9
"374199698";24;8.17;1.93;10;3;9
"374270325";11;7;1.48;9;5;7
"374281602";12;6.25;1.96;8;2;6.5
"374480095";7;8.14;1.46;10;6;8
"374525641";17;8.76;1.2;10;7;9
"375400117";20;8.25;1.68;10;5;8
"375401598";16;6.62;1.67;10;5;6.5
"375406182";11;7.64;1.69;10;4;8
"375406530";16;7.31;1.58;10;5;8
"375411550";14;6.79;2.12;10;2;8
"375412530";25;6.96;1.65;10;4;7
"375412824";24;7.58;1.95;10;3;8
"375413634";17;7.47;1.42;10;4;8
"375414053";18;7.78;1.26;10;5;8
"375500510";22;8.23;1.45;10;5;8
"375502025";14;7.93;1.82;10;5;8
"375502238";26;7.77;1.53;10;4;8
"375504397";25;7.56;2.31;10;2;8
"375504613";24;7.71;1.43;10;5;8
"375506039";29;7.28;1.28;10;5;7
"375506276";14;7.07;1.69;10;5;7
"375700757";62;7.34;2.06;10;1;8
"375701907";13;8.85;1.14;10;6;9
"375702709";37;7.86;1.58;10;5;8
"375703055";35;7.6;1.83;10;4;8
"375703063";27;7.15;1.56;10;3;7
"375703764";24;8.67;1.43;10;5;9
"375703861";34;7.44;1.83;10;3;7.5
"375705198";19;7.26;1.33;10;4;7
"375705856";34;7.53;1.42;10;4;8
"375706062";12;8.08;1.24;10;6;8
"375706410";16;7.44;1.5;10;5;7
"375706771";90;7.69;1.69;10;3;8
"375707972";67;7.39;1.73;10;3;8
"375719180";15;7.87;1.51;10;4;8
"375724370";9;7.33;2.12;10;4;8
"375725784";57;7.12;2.24;10;2;8
"375725849";21;8.48;1.17;10;5;8
"375726349";7;7.43;1.51;10;5;7
"375726403";68;7.6;1.66;10;3;8
"375727132";21;7.52;1.21;9;4;8
"375727345";100;7.49;1.6;10;2;8
"375756981";23;7.17;2.29;10;2;8
"375758992";20;8.05;1.73;10;3;8
"375760911";31;7.03;2.14;10;2;8
"375826688";18;8.56;1.04;10;6;9
"380001411";21;8.52;1.29;10;6;8
"380002930";54;8.5;1.92;10;4;9
"380005239";14;8.29;2.27;10;1;9
"380012863";35;7.89;1.6;10;5;8
"380018179";39;8.21;1.75;10;4;8
"380600129";16;7.5;1.9;10;5;8
"380702843";12;8.83;1.53;10;5;9
"380703882";15;7;2;10;4;7
"380710218";40;8.15;1.61;10;3;8
"380714752";17;8.12;1.32;10;5;8
"380717018";24;7.38;2.1;10;1;8
"380718332";37;8.16;1.28;10;6;8
"380718340";39;8.21;1.34;10;5;8
"380721643";17;6.76;1.92;9;1;7
"380722704";8;7;1.85;10;5;6.5
"380723638";13;7.69;1.18;10;6;8
"380725835";16;8.12;1.63;10;4;8.5
"380726238";9;6.89;2.67;10;1;8
"380727501";26;8.12;1.73;10;3;8.5
"380728133";17;7.65;2;10;3;8
"380730138";42;6.76;1.76;10;3;7
"380730847";17;7.47;1.01;9;5;8
"380731851";69;7.75;1.35;10;3;8
"380778556";20;7.85;1.76;10;4;8
"380788624";11;7.82;2.32;10;2;9
"380789019";60;8.17;1.62;10;2;8
"380789035";70;8.21;1.18;10;5;8
"380792745";13;8.08;1.44;10;5;8
"380804557";12;8.25;1.6;10;5;8.5
"380804697";9;7.22;1.56;9;4;7
"380805995";12;7.75;1.42;10;5;8
"380807343";17;8.29;1.69;10;5;8
"380813815";38;8.63;1.44;10;5;9
"380814021";22;8.05;1.53;10;5;8
"380816547";13;7.92;1.32;10;5;8
"380817691";18;7.5;1.65;10;4;8
"380820293";20;7.85;1.14;10;6;8
"380820447";12;7.5;1.57;10;5;7
"380820889";14;8.57;0.94;10;8;8
"380973545";12;7.5;1.51;10;5;8
"380973650";14;8.21;1.31;10;5;8
"380977788";42;8.4;1.29;10;6;9
"380978415";15;8.8;0.86;10;7;9
"385199570";21;8.76;1.61;10;5;9
"385265700";61;7.48;1.92;10;1;8
"385314698";14;7.43;1.16;9;6;7.5
"385315236";19;7.58;1.71;10;4;8
"385318073";12;8.08;1.93;10;4;8
"385318782";14;8.07;1.9;10;4;8
"385319207";11;7.55;2.25;10;3;8
"385324057";23;7.3;2.4;10;3;8
"385333412";12;7.58;1.38;10;5;7.5
"385334036";9;7.22;1.48;9;5;7
"385335482";83;7.88;1.75;10;2;8
"385335830";32;7.47;1.5;10;4;8
"385335881";48;8.02;1.6;10;3;8
"385336179";35;7.77;1.65;10;5;8
"385336810";15;7.93;1.67;10;5;9
"385337116";16;7.06;1.53;9;4;7
"385337639";13;8.23;1.3;10;6;8
"385413041";11;7.91;1.58;10;5;8
"385418493";22;7.95;1.25;10;5;8
"385420161";36;8.28;1.73;10;3;8.5
"385421982";16;8.81;1.22;10;6;9
"385424728";30;7.7;1.64;10;4;8
"385424736";33;7.61;1.71;10;4;8
"385425473";12;8.42;1.16;10;6;8
"385472943";23;8.09;1.68;10;5;8
"385472951";34;7.56;1.88;10;4;8
