"ISBN";"nb.Ratings";"mean";"sd";"max";"min";"med"
"044020562X";14;7.57;2.03;10;3;8
"044021145X";119;7.95;1.57;10;3;8
"044022103X";29;7.59;1.66;10;4;8
"044022165X";78;7.63;1.69;10;3;8
"044022425X";22;9;1.31;10;5;9
"044023722X";123;7.25;1.94;10;1;8
"044048474X";17;8.12;1.36;10;5;8
"044651652X";75;7.35;2.23;10;1;8
"044651862X";38;7.42;2.07;10;2;8
"044652087X";16;8;1.86;10;5;8
"044661064X";13;7.54;1.81;10;5;8
"044661095X";11;5.64;2.5;10;2;5
"044661162X";18;7.11;1.81;9;3;8
"044661193X";20;7.45;1.79;10;3;8
"044900371X";22;7.95;1.84;10;4;8
"044922046X";18;8;1.64;10;6;8
"048627263X";10;7.7;1.34;10;6;7.5
"051510566X";12;6.17;1.85;10;3;6
"051511779X";21;7.9;1.61;10;5;8
"051511992X";22;7.82;1.56;10;5;8
"051512219X";15;7.2;2.31;10;3;8
"051512317X";20;8.1;1.55;10;5;9
"051512608X";22;6.82;1.82;10;3;7
"051513287X";52;8.15;1.79;10;4;8.5
"051513628X";26;7.92;1.72;10;5;8
"052594527X";15;8.93;1.22;10;7;9
"055321313X";35;8.94;1.7;10;2;10
"055321330X";15;7.53;2.2;10;2;8
"055328942X";12;7.67;2.71;10;3;8.5
"055337933X";11;8.18;1.6;10;6;8
"055356160X";18;7.78;1.59;10;5;8
"055356451X";28;7.75;1.58;10;4;8
"055356773X";10;7.9;1.79;10;5;8.5
"055357227X";13;7;2.08;9;3;7
"055357230X";16;6.94;1.61;10;5;7
"055357258X";14;8.43;1.79;10;5;9
"055358264X";11;7.36;1.29;9;5;8
"059030271X";17;8.12;2;10;5;9
"059035342X";147;8.99;1.4;10;1;10
"060980619X";14;7.43;2.24;10;3;8
"067088300X";36;7;1.33;10;5;7
"067100042X";16;7.94;1.44;10;5;8
"067101420X";23;7;2.07;10;4;7
"067102423X";35;8.2;1.81;10;5;8
"067102535X";18;7.72;1.49;10;5;8
"067103619X";10;7;1.33;9;5;7
"067164257X";15;7.53;2.36;10;3;7
"067168390X";16;9.25;0.86;10;8;9.5
"067169507X";13;7.92;2.02;10;5;8
"067172262X";12;9;1.86;10;4;10
"067976397X";22;8.32;1.73;10;3;9
"067976402X";113;7.61;2.18;10;1;8
"068483376X";18;8.22;1.63;10;5;8.5
"068484267X";53;8.34;1.87;10;2;9
"068484477X";63;8.19;1.35;10;4;8
"068487217X";16;8.31;1.58;10;5;9
"074322423X";7;7.14;2.79;10;3;8
"074322535X";20;7.85;1.95;10;1;8
"074343627X";36;7.81;2.11;10;1;8
"076790382X";20;7.5;1.54;10;4;7.5
"076790592X";15;9;1.07;10;7;9
"080213825X";24;5.67;2.39;10;1;5
"080410526X";55;8.15;1.58;10;5;8
"080410753X";43;8.14;1.36;10;5;8
"080411109X";42;8.05;1.43;10;5;8
"080411868X";26;7.69;1.93;10;4;8
"080411918X";16;6.94;1.69;9;4;7
"080411935X";19;8.16;1.21;10;6;8
"081297106X";18;8.78;1.44;10;5;9
"084232920X";13;8.31;1.55;10;5;8
"084233226X";17;8.53;1.5;10;5;9
"089480829X";39;8.15;1.66;10;5;8
"140003065X";26;8.35;1.9;10;1;9
"1400031346";26;8.31;1.35;10;5;8
"1400031354";57;8.54;1.28;10;5;9
"1400031362";23;8.48;1.16;10;6;8
"140003180X";16;8.38;1.09;10;7;8
"1400032717";26;8.73;1.22;10;6;9
"1400033543";13;8;0.71;9;6;8
"1400034779";91;7.99;1.6;10;3;8
"140039589";8;8.38;1.85;10;5;9
"140042393";15;8.6;1.76;10;5;9
"140042520";10;8.8;1.93;10;4;10
"140042598";24;8.12;2.29;10;3;9
"140053204";11;8.09;2.34;10;2;9
"140067477";50;8.32;1.73;10;2;8
"140067779";14;7.86;1.46;10;5;8
"140077022";13;7.77;1.83;10;4;8
"140092323";14;7.07;1.64;9;4;7
"140119906";33;7.97;1.49;10;4;8
"140131558";10;7.3;2;10;5;7.5
"140143505";16;9.62;0.5;10;9;10
"140177396";20;8.2;1.51;10;5;8
"140179836";23;8;1.62;10;3;8
"140185216";15;8.13;1.68;10;6;8
"140186409";14;8.07;2.16;10;3;8.5
"140230165";14;7.79;2.39;10;3;8.5
"140244824";30;6.77;1.89;10;2;7
"140254544";23;8.48;1.2;10;6;8
"140257934";21;7.9;1.48;10;6;8
"140258795";18;8.06;1.59;10;5;8
"140265686";12;7.92;1.62;10;5;8
"140270590";13;8.23;1.48;10;6;8
"140276904";12;6;2.09;8;1;6
"140280553";17;7.18;1.85;10;4;7
"140282033";14;8.36;1.45;10;5;8
"140293248";83;6.7;1.8;10;2;7
"140296298";13;7.77;2.01;10;4;8
"140298479";52;7.58;1.65;10;3;8
"140374248";15;8.73;1.39;10;6;9
"140386335";14;9.14;1.35;10;5;9.5
"140386645";17;8.12;1.87;10;4;8
"140430725";14;8.43;2.21;10;3;9
"140440046";20;7.75;1.86;10;4;8
"140481346";13;6.15;2.44;10;3;6
"140481389";15;8.47;1.46;10;5;9
"140620222";11;8.64;1.63;10;5;9
"140620338";12;7.83;1.47;10;6;8
"140620427";15;8.33;1.45;10;5;8
"141000198";36;7.44;1.93;10;1;8
"141007338";10;7.8;1.32;10;5;8
"141301155";13;8.46;1.66;10;4;9
"142000205";62;7.68;1.5;10;3;8
"142000663";19;8.95;1.27;10;6;9
"142001430";49;8.2;1.31;10;6;8
"142001740";163;8.44;1.51;10;2;9
"142001805";39;8.36;1.61;10;3;9
"142001821";17;7.65;1.41;10;4;8
"142002267";21;8.05;1.28;10;5;8
"142003727";17;8.06;1.09;10;6;8
"142004235";28;8.86;1.24;10;6;9
"151002290";12;7.75;1.42;10;5;8
"151008116";46;8.39;1.42;10;5;9
"1550548913";12;8.75;0.97;10;7;9
"1551665301";14;8.07;1.59;10;5;8
"155166674X";13;7.46;1.98;9;2;8
"1551666839";20;7.75;1.89;10;4;8
"1551668653";15;6.6;2.26;10;2;7
"1551668912";15;8.6;1.5;10;6;9
"1551668998";15;8.67;1.05;10;7;9
"1558531025";21;8.14;1.53;10;5;8
"155874262X";48;7.46;2.09;10;2;8
"1558743316";17;7.41;2.29;10;1;8
"1558743669";60;7.95;2.01;10;1;8
"1558744150";37;7.76;1.5;10;5;8
"155874424X";11;8.64;1.12;10;7;9
"1558744592";8;7.88;1.73;10;5;7.5
"1558744606";12;7.42;1.73;10;5;7.5
"1558744630";27;7.48;2.44;10;2;8
"1558745017";13;8.15;1.86;10;5;8
"1558745157";40;8.28;1.69;10;4;9
"1558745718";23;8.13;1.58;10;5;8
"1558746161";15;7.8;2.34;10;3;9
"1558746226";15;8.13;1.88;10;5;9
"1558747109";11;8.82;1.99;10;5;10
"1559029838";23;8.26;1.63;10;4;8
"156001314";16;8.38;1.96;10;2;9
"156005891";20;8;1.38;10;5;8
"156006529";17;7.47;1.66;10;4;8
"156007479";19;7.95;1.54;10;5;8
"156007754";26;8.58;1.47;10;5;9
"156011042";10;6.9;1.85;10;4;7
"156012197";14;9.64;0.63;10;8;10
"156027321";115;7.97;1.74;10;2;8
"156028778";22;6.91;2.18;10;1;7
"1565122968";19;7.37;1.64;10;4;8
"156528207";26;9.04;1.4;10;6;10
"156628708";20;6.75;1.89;10;3;7
"156711427";12;6.92;1.88;10;4;7.5
"1573221112";13;8.54;1.2;10;7;8
"1573221937";19;6.47;1.74;9;2;7
"1573222267";9;7.44;1.13;9;6;8
"1573225517";27;8.52;1.28;10;5;9
"1573225789";44;8.09;1.67;10;5;8
"1573226521";15;7.93;1.83;10;4;9
"1573227331";24;7.46;1.53;10;5;7.5
"1573228214";20;7.85;1.73;10;4;8
"157322930X";10;6.5;2.07;10;4;5.5
"1573229326";52;6.88;1.59;10;1;7
"1573229571";28;8.07;1.88;10;2;8.5
"1573229725";21;8.67;1.15;10;6;9
"1576737330";28;6.93;2.19;10;2;7
"1592400876";34;8.44;1.24;10;6;8
"1844262553";1;8;NA;8;8;8
"1853260002";9;9.22;1.09;10;7;10
"1853260010";13;8.38;1.04;10;7;9
"1853260207";12;8.33;1.61;10;5;8.5
"1853261580";4;7;4.08;10;1;8.5
"1857022424";14;8.64;1.39;10;5;9
"1878424114";13;7.23;2.86;10;1;8
"1878424319";33;7.82;2.34;10;2;8
"1880418568";14;9.14;1.03;10;7;9.5
"193156146X";13;9.62;0.51;10;9;10
"1931561648";21;8.52;1.66;10;4;9
"20199600";12;8;1.21;10;6;8
"20442203";17;8.94;1.2;10;7;9
"2070360024";14;8.36;1.08;10;7;8.5
"2253150711";12;8.42;1.08;10;7;8.5
"2290311782";13;7.77;1.09;9;5;8
"28604199";20;7.9;1.55;10;5;8
"310205719";14;8.43;2.24;10;3;9.5
"312144075";15;8.07;1.87;10;5;9
"312147015";10;8.4;0.97;10;7;8.5
"312150601";10;7.4;1.58;10;5;7.5
"312171838";15;7.93;1.75;10;5;8
"312195516";167;8.43;1.69;10;2;9
"312199430";23;7.83;2.04;10;3;8
"312201656";20;8.15;1.5;10;4;8
"312205406";13;8.31;1.32;10;5;8
"312243022";36;7.25;1.93;10;3;7.5
"312244266";14;7.57;1.22;10;5;8
"312263120";22;7.41;1.47;9;4;8
"312265840";23;8.17;1.56;10;4;8
"312265859";30;8.23;1.61;10;4;8.5
"312265867";35;8.46;1.38;10;5;9
"312272057";13;7.23;1.01;9;5;7
"312274920";25;7.92;1.26;10;5;8
"312275420";8;7;1.41;9;5;7
"312278586";96;7.66;1.68;10;2;8
"312282990";39;8.26;2.01;10;3;9
"312283709";16;7.81;1.56;10;5;8
"312284683";18;8.22;1.59;10;5;8.5
"312291639";82;7.17;1.65;10;2;7.5
"312305060";68;7.74;1.91;10;1;8
"312306326";32;7.28;1.73;10;2;8
"312421273";25;6.88;2.45;10;1;7
"312422156";33;8.36;1.62;10;3;9
"312924585";65;8.35;1.36;10;5;9
"312924801";20;7.4;1.73;10;5;8
"312925883";12;8.67;1.56;10;6;9.5
"312952716";15;8.2;1.66;10;5;8
"312955006";9;8.22;0.83;9;7;8
"312961324";14;7.21;1.67;10;5;7.5
"312966091";64;8.28;1.11;10;5;8
"312966806";17;7.65;1.58;10;4;8
"312966970";67;8.3;1.19;10;5;8
"312971125";17;7.18;1.51;10;5;7
"312971346";55;8.44;1.27;10;5;9
"312974256";17;7.47;1.77;10;4;8
"312976275";51;7.9;1.71;10;2;8
"312978367";10;8.4;1.71;10;5;9
"312978383";15;8.13;1.77;10;5;8
"312979096";19;7.84;1.38;10;5;8
"312979479";12;8.33;1.83;10;3;9
"312980140";58;8.12;1.6;10;3;8
"312980159";26;7.65;1.52;10;4;8
"312982518";18;7.56;1.34;10;5;8
"312983271";55;7.02;1.78;10;2;7
"312983298";18;7.33;2.22;10;3;8
"312983301";18;7.33;1.5;10;4;8
"312983824";31;7.23;1.63;10;4;7
"312983867";39;7.95;1.65;10;3;8
"312986343";24;6.96;1.9;10;2;7
"312990456";39;8.67;1.18;10;5;9
"312995423";35;7.66;1.94;10;1;8
"316089699";18;7.78;1.66;10;5;8
"316096199";70;8.2;1.56;10;4;8
"316143464";16;8.06;1.53;10;5;8.5
"316153915";14;7.5;1.45;10;5;8
"316154059";15;7.67;1.5;10;5;8
"316168688";29;8.28;1.44;10;6;8
"316168815";21;8.38;2.18;10;1;9
"316182540";18;8.5;0.86;10;6;9
"316284955";73;7.92;1.72;10;1;8
"316569321";62;7.71;1.86;10;1;8
"316601950";114;7.5;1.72;10;3;8
"316602051";20;7.75;1.65;10;5;8
"316602906";23;8.13;1.69;10;3;9
"316603287";30;7.33;2.34;10;2;7.5
"316603570";19;8.47;1.54;10;4;9
"316666009";34;7.74;1.5;10;5;8
"316666343";284;8.23;1.63;10;1;9
"316678104";19;8;2.16;10;2;8
"316690619";25;6.96;2.41;10;2;8
"316693006";38;8.34;1.62;10;4;9
"316693200";35;7.94;1.76;10;4;8
"316693235";26;7.73;1.8;10;5;8
"316693251";24;8.17;1.76;10;5;9
"316693286";16;8.06;1.18;10;5;8
"316693294";13;8.31;1.18;10;7;8
"316693324";14;7.71;1.86;10;4;8
"316734837";14;8.14;1.51;10;6;8.5
"316769487";112;7.64;2.36;10;1;8
"316769509";12;7.67;2.23;10;2;8
"316776963";89;8.19;1.68;10;3;8
"316777722";26;8.08;2;10;3;8.5
"316777730";34;8.09;1.5;10;3;8
"316779237";19;8.26;2;10;3;9
"316779423";16;7.75;1.53;10;5;7.5
"316779490";15;7.73;2.22;10;3;8
"316780375";26;7.62;1.42;10;4;8
"316780812";20;8.05;1.32;10;5;8
"316781010";21;7.71;1.68;10;5;7
"316781142";23;7.13;2.1;10;3;8
"316781266";41;6.95;1.83;10;4;7
"316782262";16;6.94;1.88;10;3;7.5
"316782505";22;7.86;1.13;10;5;8
"316788228";25;7.88;1.79;10;3;8
"316789089";29;7.86;1.85;10;2;8
"316789976";13;7.08;1.85;10;3;7
"316899984";35;6.8;1.83;10;2;7
"316969443";30;7.57;2.13;10;2;7.5
"316969680";32;7.28;2.04;10;1;7
"325722575X";12;7.83;1.47;10;5;8
"3257228007";11;7.91;2.77;10;1;9
"3257229534";11;8.18;2.09;10;4;9
"330262130";16;8.5;1.55;10;4;9
"330267388";15;9;1.13;10;6;9
"330332775";32;7.31;1.87;10;2;7
"330375253";14;8.07;1.59;10;5;8
"3379015180";7;7.71;1.98;10;5;7
"3404148665";11;8;2.32;10;2;8
"3423202327";11;7.55;1.21;9;5;8
"3423202947";11;8.18;1.4;10;6;9
"3442541751";14;7;1.84;10;3;7
"345301110";23;7.61;1.53;10;5;8
"345303067";11;6.82;1.54;9;5;7
"345313860";95;8.06;1.74;10;3;8
"345314255";20;7.4;2.54;10;1;8
"345325818";17;8.41;2;10;5;10
"345333926";15;8.47;1.19;10;7;8
"345334531";21;6.76;2.05;10;3;7
"345335465";16;8.06;1.73;10;3;8
"345335511";13;7.92;1.71;10;5;8
"345337662";131;7.63;1.73;10;2;8
"345338588";15;8.47;1.51;10;5;9
"345339681";82;8.77;1.84;10;3;10
"345339703";66;8.86;1.75;10;2;10
"345339711";52;9.37;0.93;10;6;10
"345339738";52;9.5;1.04;10;5;10
"345342968";80;8.75;1.42;10;5;9
"345347536";12;7.67;1.72;10;5;7.5
"345348036";39;8.69;1.76;10;2;9
"345348109";20;8.3;1.89;10;4;9
"345350472";15;7.8;1.57;10;5;8
"345350499";52;8.63;1.48;10;4;9
"345350685";15;8.67;1.35;10;6;9
"345351525";53;7.25;1.93;10;2;7
"345353145";67;7.67;1.49;10;5;8
"345354613";19;7.26;2.02;10;4;7
"345354621";20;7.25;1.45;10;4;7
"345361792";78;8.55;1.78;10;1;9
"345362861";13;8.23;1.64;10;5;9
"345366239";18;7.78;2.32;10;1;9
"345368754";21;8;1.64;10;5;8
"345368932";13;8.38;1.26;10;7;8
"345369947";35;8.14;1.44;10;4;8
"345370775";96;7.71;1.56;10;3;8
"345370805";18;6.94;1.66;9;4;7
"345378482";37;7.51;1.45;10;5;7
"345378490";55;7;1.59;10;4;7
"345380371";55;7.27;1.42;10;4;7
"345384350";26;7.73;1.64;10;4;8
"345384369";28;8;1.76;10;4;8
"345384377";12;7.58;1.16;9;5;8
"345384466";51;7.71;1.87;10;3;8
"345386108";24;6.83;1.61;10;5;7
"345386132";8;7.5;2.07;10;5;7.5
"345387651";46;7.61;1.83;10;4;8
"345389417";12;7.83;1.03;10;6;8
"345389964";14;7.29;1.59;10;5;7
"345391055";44;7.48;1.76;10;1;8
"345391802";40;8.32;1.94;10;2;9
"345391810";18;8.44;1.72;10;3;8.5
"345392825";25;7.6;1.87;10;4;8
"345396936";16;7.69;2.06;10;3;8
"345397819";24;7.75;1.65;10;4;8
"345402871";37;7.54;1.76;10;3;8
"345404114";20;7.5;1.93;10;3;8
"345404319";20;7.9;1.52;10;5;8
"345404475";15;8.47;0.92;10;7;8
"345404769";11;6.82;1.66;10;5;7
"345404793";11;7.73;1.35;10;5;8
"345409469";13;7.85;2.61;10;3;9
"345409671";19;7.53;2.09;10;3;8
"345409973";14;8.07;1.38;10;5;8
"345413350";30;7.97;2.08;10;3;9
"345413369";23;8.52;1.47;10;5;9
"345413377";19;8.89;1.45;10;5;9
"345413865";10;7;1.33;9;5;7
"345413873";31;7.03;1.82;10;3;7
"345413881";23;7.74;1.45;10;5;8
"345413903";30;8.2;1.52;10;4;8
"345416260";21;8.1;2.26;10;1;9
"345416880";11;7.91;1.81;10;4;8
"345417623";83;7.88;1.92;10;3;8
"345418018";8;7.12;1.25;9;5;7
"345422317";13;7.46;1.61;10;4;8
"345422384";23;7.3;1.64;10;3;8
"345423135";14;7.57;1.91;10;4;8
"345423291";15;7.73;1.79;10;3;8
"345423402";21;7.62;2.06;10;3;8
"345423615";13;7.31;1.93;10;4;7
"345424719";27;8.11;1.45;10;5;8
"345425707";12;7.83;0.83;9;7;8
"345427637";25;7.2;2.27;10;1;8
"345433491";14;7.93;1.21;10;6;8
"345434803";12;7.08;2.64;10;2;7.5
"345435028";13;7.92;1.19;9;5;8
"345435168";24;7.46;1.5;10;3;8
"345435249";13;7.08;1.85;9;3;7
"345435796";14;7.21;2.26;10;3;8
"345436911";30;7.2;1.77;10;2;7.5
"345438329";46;7.59;1.41;10;5;8
"345439104";45;7.84;1.61;10;3;8
"345441036";26;8.08;2.06;10;2;8
"345441133";9;8.11;1.05;10;7;8
"345441265";18;7.67;0.77;9;6;8
"345442768";10;6.7;1.77;10;4;7
"345442822";13;8.08;1.38;10;6;8
"345443284";55;7.16;1.71;10;3;7
"345444884";28;8.11;2.23;10;2;9
"345445848";27;7.96;1.22;10;5;8
"345446666";13;8.08;1.61;10;5;9
"345446860";35;7.26;1.48;10;5;8
"345447840";20;8.1;1.29;10;5;8
"345447867";22;7.59;1.65;10;5;8
"345449347";10;6.5;2.22;9;2;7
"345450892";12;8.58;1.38;10;7;8.5
"345452534";19;8.21;1.27;10;5;8
"345452550";16;7.62;2.22;10;3;8
"345452569";18;7.67;1.41;10;5;8
"345453387";15;7.6;1.4;10;5;8
"345453816";15;7.87;1.51;10;5;8
"345459202";18;7.72;1.67;10;5;8
"345465083";22;8.45;1.57;10;4;9
"349101779";15;7.93;2.49;10;1;9
"3492045170";13;7.92;1.38;10;5;8
"3548359698";8;7.12;1.46;10;5;7
"3596259924";8;7.75;1.75;10;5;7
"373218036";23;7.39;1.88;10;5;7
"373218192";30;7.33;1.69;10;4;8
"373218397";26;7.15;1.74;10;2;7
"373218400";16;6.5;1.79;10;5;6
"373218486";12;6.92;1.88;10;5;7
"373218966";17;6.71;1.31;8;5;7
"373243790";12;7.67;1.61;10;5;8
"373244487";13;7.38;1.33;10;5;7
"373250118";15;6.93;1.22;10;5;7
"373250126";20;7;1.78;10;5;7
"373250134";13;6.77;2.28;9;1;7
"373483503";19;7.95;1.65;10;5;8
"373483694";18;7.22;2.02;10;4;7
"373484003";20;7.95;1.54;10;5;8
"373484224";26;7.08;1.76;10;3;7
"373484232";14;7.5;2.68;10;1;9
"373484410";18;7.61;1.85;10;4;8
"373484429";13;7.77;1.88;10;4;8
"373825013";17;6.71;2.2;10;3;6
"374100128";16;5.88;1.5;9;3;5
"374129983";27;7.52;2.1;10;2;8
"374172897";13;8.23;1.42;10;5;9
"374199698";28;8.18;1.87;10;3;9
"374270325";11;7.18;1.4;9;5;7
"374281602";15;6.67;2.13;9;2;7
"374480095";15;8.33;1.23;10;6;8
"374525641";17;8.65;1.27;10;6;9
"375400117";18;8.56;1.79;10;5;9.5
"375401598";13;6.15;1.46;10;5;6
"375406182";10;7;1.7;10;4;7
"375406530";11;7.45;1.75;10;5;8
"375411550";12;7.67;1.3;10;5;8
"375412530";21;7.29;1.35;9;4;8
"375412824";19;7.37;2.09;10;3;8
"375413634";15;7.73;1.53;10;4;8
"375414053";20;7.55;1.5;10;5;8
"375500510";25;8.04;1.4;10;5;8
"375502025";12;7.83;2.04;10;5;8
"375502238";22;7.73;1.7;10;3;8
"375504397";27;7.48;2.24;10;2;8
"375504613";20;7.5;1.43;10;5;7.5
"375506039";29;7.21;1.37;10;3;7
"375506276";15;7.6;1.68;10;5;7
"375700757";62;7.23;2.04;10;1;8
"375701907";14;9;0.96;10;7;9
"375702709";41;7.8;1.6;10;5;8
"375703055";36;7.36;1.87;10;4;7
"375703063";29;6.9;1.8;10;2;7
"375703764";19;8.26;1.66;10;5;9
"375703861";31;7.32;1.78;10;4;7
"375705198";19;7.53;1.47;10;4;7
"375705856";34;7.71;1.51;10;4;8
"375706062";9;8.22;1.39;10;6;8
"375706410";12;7.75;1.48;9;5;8
"375706771";82;7.89;1.69;10;3;8
"375707972";61;7.48;1.73;10;3;8
"375719180";16;7.62;1.63;10;4;8
"375724370";9;7.78;2.22;10;4;9
"375725784";57;7.44;2.03;10;3;8
"375725849";19;8.68;1.2;10;5;9
"375726349";8;7.38;1.41;10;6;7
"375726403";66;7.86;1.65;10;3;8
"375727132";23;7.17;1.47;9;4;7
"375727345";107;7.39;1.57;10;2;8
"375756981";25;7.72;2.19;10;2;8
"375758992";17;8.18;1.85;10;3;8
"375760911";26;7;2.08;10;2;7.5
"375826688";19;8.63;1.07;10;6;9
"380001411";15;7.93;1.75;10;5;8
"380002930";56;8.52;1.86;10;4;9
"380005239";13;8.15;2.3;10;1;9
"380012863";35;8;1.61;10;5;8
"380018179";37;8.03;1.59;10;5;8
"380600129";15;8.13;1.68;10;5;8
"380702843";15;8.53;1.73;10;5;9
"380703882";16;7.06;1.61;10;5;7
"380710218";33;7.94;1.68;10;3;8
"380714752";18;7.94;1.26;10;5;8
"380717018";30;7.53;1.94;10;1;8
"380718332";34;8.21;1.34;10;6;8
"380718340";42;8.36;1.21;10;5;8
"380721643";15;7.33;2.23;10;1;8
"380722704";13;7.08;1.85;10;4;8
"380723638";12;7.5;1.17;10;6;7
"380725835";15;7.67;1.76;10;4;8
"380726238";11;6.73;2.37;9;1;8
"380727501";24;7.71;1.63;10;3;8
"380728133";18;7.83;1.98;10;3;8
"380730138";39;7.28;1.47;10;5;7
"380730847";20;7.55;1;9;5;8
"380731851";56;7.71;1.29;10;3;8
"380778556";22;7.64;2.15;10;3;8
"380788624";15;9;1.2;10;6;9
"380789019";52;8.35;1.36;10;5;8.5
"380789035";65;8.03;1.49;10;1;8
"380792745";16;7.69;1.7;10;4;8
"380804557";11;8;1.26;10;6;8
"380804697";11;6.91;1.51;9;4;7
"380805995";9;8;1.5;10;5;8
"380807343";17;7.94;1.68;10;5;8
"380813815";33;8.55;1.52;10;5;9
"380814021";25;8.08;1.47;10;5;8
"380816547";9;7.56;1.88;10;5;7
"380817691";18;7.83;1.72;10;4;8
"380820293";17;7.88;1.27;10;6;8
"380820447";14;7.57;1.22;10;5;8
"380820889";13;8.46;1.13;10;7;8
"380973545";14;8.07;1.59;10;5;8
"380973650";13;8.15;1.28;10;5;8
"380977788";43;8.16;1.48;10;4;9
"380978415";17;8.71;0.99;10;7;9
"385199570";18;9.06;1.63;10;5;10
"385265700";65;7.38;1.96;10;1;8
"385314698";15;7.6;1.06;9;6;8
"385315236";18;7.39;1.82;10;4;7.5
"385318073";11;8.18;1.83;10;4;8
"385318782";15;8.07;2.02;10;3;8
"385319207";16;8.19;2.04;10;3;9
"385324057";23;7.35;2.1;10;3;8
"385333412";9;7.33;1.94;10;4;8
"385334036";13;6.85;2.19;10;1;7
"385335482";84;8;1.66;10;2;8
"385335830";27;7.67;1.27;10;5;8
"385335881";59;8.37;1.35;10;4;8
"385336179";41;7.95;1.7;10;5;8
"385336810";14;8.14;1.7;10;5;8.5
"385337116";12;7.17;1.7;9;4;7.5
"385337639";15;8.53;1.41;10;6;9
"385413041";10;7.9;1.66;10;5;8
"385418493";19;8.26;1.37;10;5;8
"385420161";33;8.09;1.72;10;3;8
"385421982";12;9.25;0.87;10;8;9.5
"385424728";33;7.52;1.56;10;4;7
"385424736";34;7.76;1.54;10;4;8
"385425473";14;8.79;1.25;10;6;8.5
"385472943";14;7.86;1.75;10;5;8
"385472951";34;7.59;1.78;10;4;8
"385474016";31;7.58;1.59;10;3;8
