"User.ID";"nb.Ratings";"mean";"sd";"max";"min";"med"
3145;5;7.4;1.52;9;5;8
3167;7;7.43;1.72;10;5;7
3192;2;7;0;7;7;7
3329;2;6.5;2.12;8;5;6.5
3331;5;8.4;2.51;10;4;9
3344;2;8.5;0.71;9;8;8.5
3346;3;8;2.65;10;5;9
3350;4;8;1.63;10;6;8
3363;10;9.2;1.14;10;7;10
3371;9;7.89;1.69;10;5;7
3373;11;5.91;1.58;8;3;5
3374;1;8;NA;8;8;8
3467;3;8.67;0.58;9;8;9
3556;5;10;0;10;10;10
3569;2;6.5;0.71;7;6;6.5
3578;2;9.5;0.71;10;9;9.5
3594;1;8;NA;8;8;8
3640;3;7.33;1.15;8;6;8
3675;1;10;NA;10;10;10
3693;1;8;NA;8;8;8
3719;3;7.33;0.58;8;7;7
3814;3;5.33;1.53;7;4;5
3817;5;8.2;1.48;10;6;8
3827;11;8.18;1.4;10;6;8
3840;3;9;1;10;8;9
3917;7;7.29;1.5;10;5;7
3923;4;6;0.82;7;5;6
3965;1;9;NA;9;9;9
4017;37;9.22;1.32;10;5;10
4090;1;8;NA;8;8;8
4091;3;8;0;8;8;8
4092;2;6.5;0.71;7;6;6.5
4098;1;3;NA;3;3;3
4131;2;8.5;0.71;9;8;8.5
4138;1;8;NA;8;8;8
4149;2;6.5;3.54;9;4;6.5
4157;3;8.33;0.58;9;8;8
4197;1;9;NA;9;9;9
4221;3;7.33;1.15;8;6;8
4223;1;7;NA;7;7;7
4334;3;7;1;8;6;7
4365;3;8.33;2.89;10;5;10
4385;1;10;NA;10;10;10
4483;2;7;1.41;8;6;7
4570;1;8;NA;8;8;8
4571;3;7.67;1.53;9;6;8
4600;1;10;NA;10;10;10
4622;4;7.5;2.52;10;4;8
4785;2;5.5;0.71;6;5;5.5
4795;7;9;0.82;10;8;9
4802;2;8;1.41;9;7;8
4809;3;7.67;0.58;8;7;8
4938;10;8.4;1.26;10;7;8
5037;6;8.17;2.23;10;4;8.5
5048;1;10;NA;10;10;10
5163;1;5;NA;5;5;5
5207;2;8;0;8;8;8
5209;1;9;NA;9;9;9
5286;1;10;NA;10;10;10
5333;3;7;0;7;7;7
5385;2;10;0;10;10;10
5416;1;7;NA;7;7;7
5439;4;8.75;0.96;10;8;8.5
5448;1;6;NA;6;6;6
5476;12;6.75;2.73;10;1;7
5499;3;10;0;10;10;10
5539;7;8.29;2.06;10;5;9
5582;25;8.84;1.34;10;5;9
5609;3;8.67;1.53;10;7;9
5638;1;9;NA;9;9;9
5665;1;7;NA;7;7;7
5674;1;5;NA;5;5;5
5709;1;8;NA;8;8;8
5722;3;6.67;1.53;8;5;7
5728;4;7.75;1.26;9;6;8
5741;1;9;NA;9;9;9
5746;2;7.5;0.71;8;7;7.5
5815;4;7;2.45;10;5;6.5
5899;2;8.5;0.71;9;8;8.5
5903;9;8.22;0.67;9;7;8
5932;1;5;NA;5;5;5
5942;2;4.5;3.54;7;2;4.5
5956;1;5;NA;5;5;5
5963;3;6;1;7;5;6
5998;2;6.5;2.12;8;5;6.5
6073;13;8.38;1.71;10;5;9
6102;3;6.67;2.31;8;4;8
6115;4;10;0;10;10;10
6238;8;9.25;0.89;10;8;9.5
6242;29;6.31;1.04;8;5;6
6249;1;10;NA;10;10;10
6251;38;8.66;1.56;10;4;9
6280;2;9;0;9;9;9
6323;10;5.4;2.63;9;1;6
6333;2;6.5;0.71;7;6;6.5
6345;3;9.67;0.58;10;9;10
6347;1;7;NA;7;7;7
6398;2;5;1.41;6;4;5
6431;6;9.67;0.82;10;8;10
6532;5;8;1;9;7;8
6537;5;6.6;1.67;8;4;7
6543;33;7.52;1.12;10;5;7
6563;27;8.04;1.65;10;3;8
6566;6;7.17;1.47;9;5;7.5
6575;75;7.48;1.58;10;2;8
6577;9;7.33;1.73;10;5;7
6582;1;5;NA;5;5;5
6611;6;9.33;0.82;10;8;9.5
6671;2;4.5;0.71;5;4;4.5
6679;4;8.75;1.5;10;7;9
6689;1;2;NA;2;2;2
6769;4;7.25;1.71;9;5;7.5
6772;8;6.88;1.13;8;5;7
6781;2;7.5;0.71;8;7;7.5
6789;4;6.75;2.63;9;3;7.5
6840;3;7.33;1.53;9;6;7
6871;1;4;NA;4;4;4
6894;1;10;NA;10;10;10
6958;2;6;1.41;7;5;6
7056;2;6.5;2.12;8;5;6.5
7079;2;9.5;0.71;10;9;9.5
7082;7;6.86;1.77;9;5;8
7105;3;9;1.73;10;7;10
7125;18;7.39;2.38;10;2;8
7134;2;8;1.41;9;7;8
7158;23;7.7;2.12;10;1;8
7210;6;7.83;2.48;10;3;8.5
7283;11;9.27;0.9;10;8;10
7286;6;9;1.26;10;7;9.5
7312;3;6.67;4.16;10;2;8
7346;56;8.04;1.01;10;6;8
7352;4;7;2.71;9;3;8
7371;1;9;NA;9;9;9
7384;1;8;NA;8;8;8
7400;1;8;NA;8;8;8
7426;1;7;NA;7;7;7
7528;1;5;NA;5;5;5
7565;1;5;NA;5;5;5
7569;2;7.5;0.71;8;7;7.5
7620;3;8.67;1.53;10;7;9
7630;1;8;NA;8;8;8
7651;2;5.5;3.54;8;3;5.5
7809;2;10;0;10;10;10
7841;8;9;1.07;10;7;9
7860;5;8;0.71;9;7;8
7864;3;5.67;1.15;7;5;5
7887;8;9.75;0.71;10;8;10
7890;2;8.5;0.71;9;8;8.5
7913;3;5;1.73;6;3;6
7915;21;8.05;1.63;10;5;8
7930;1;8;NA;8;8;8
7958;7;9.14;0.69;10;8;9
7962;1;8;NA;8;8;8
7970;1;7;NA;7;7;7
8019;5;8.8;1.1;10;7;9
8040;1;8;NA;8;8;8
8066;10;7;0.94;8;5;7
8067;23;9.26;1.84;10;2;10
8089;4;8.75;1.5;10;7;9
8095;2;7.5;0.71;8;7;7.5
8141;4;7.25;0.96;8;6;7.5
8187;7;7.71;0.76;8;6;8
8188;4;8.5;1.73;10;6;9
8234;10;8.2;1.99;10;5;8.5
8245;34;8.03;0.87;10;6;8
8250;3;8.33;0.58;9;8;8
8253;27;9.19;1.21;10;5;10
8255;2;9;1.41;10;8;9
8284;1;10;NA;10;10;10
8290;2;10;0;10;10;10
8313;1;5;NA;5;5;5
8314;2;3.5;2.12;5;2;3.5
8323;3;6;1;7;5;6
8362;7;8;0.82;9;7;8
8454;28;8.21;1.1;10;6;8
8487;5;7.4;1.82;10;5;7
8529;2;9.5;0.71;10;9;9.5
8570;4;7;1.15;8;6;7
8680;4;7.5;1;8;6;8
8681;17;8.41;1;10;7;8
8687;2;6.5;2.12;8;5;6.5
8734;8;7.75;0.89;9;7;7.5
8782;4;8.75;1.26;10;7;9
8801;8;8.25;1.67;10;5;8.5
8844;1;8;NA;8;8;8
8864;2;5.5;3.54;8;3;5.5
8870;7;6.43;1.13;8;5;7
8872;6;7.67;1.51;9;5;8
8930;4;8.25;0.5;9;8;8
8935;3;9.33;1.15;10;8;10
8936;10;8.5;1.08;10;7;9
8937;7;8.57;1.81;10;6;10
8971;1;9;NA;9;9;9
9138;2;6.5;2.12;8;5;6.5
9139;4;9;1.15;10;8;9
9177;2;7.5;0.71;8;7;7.5
9183;1;9;NA;9;9;9
9226;1;8;NA;8;8;8
9227;3;5.67;3.21;8;2;7
9313;1;8;NA;8;8;8
9343;3;6.67;1.15;8;6;6
9354;5;8.8;1.3;10;7;9
9357;2;10;0;10;10;10
9381;2;7;1.41;8;6;7
9417;8;6.62;1.69;10;5;7
9454;3;7.33;1.53;9;6;7
9504;1;9;NA;9;9;9
9568;2;7.5;0.71;8;7;7.5
9571;1;10;NA;10;10;10
9574;3;7.67;1.15;9;7;7
9613;10;7.3;1.64;10;5;7
9660;1;10;NA;10;10;10
9717;2;8.5;0.71;9;8;8.5
9747;6;9.33;1.03;10;8;10
9806;2;8.5;0.71;9;8;8.5
9856;11;6.45;2.25;10;3;6
9908;5;9;1.73;10;6;10
9974;1;9;NA;9;9;9
10030;4;9.75;0.5;10;9;10
10118;5;10;0;10;10;10
10199;5;9.2;1.3;10;7;10
10314;23;7.3;1.36;9;5;7
10315;1;7;NA;7;7;7
10354;5;8.6;0.89;10;8;8
10447;25;7.44;1.85;10;3;8
10560;14;8.86;0.95;10;8;8.5
10607;2;9.5;0.71;10;9;9.5
10619;1;9;NA;9;9;9
10660;1;9;NA;9;9;9
10668;1;9;NA;9;9;9
10681;1;6;NA;6;6;6
10699;2;9;0;9;9;9
10819;5;8.8;1.1;10;7;9
10836;1;9;NA;9;9;9
10946;2;5;0;5;5;5
10949;6;7.33;1.37;9;5;7.5
10965;1;9;NA;9;9;9
10985;2;8;1.41;9;7;8
11070;2;5.5;0.71;6;5;5.5
11120;3;8;0;8;8;8
11179;2;7;1.41;8;6;7
11201;1;7;NA;7;7;7
11206;1;8;NA;8;8;8
11224;17;5.76;2.08;9;1;6
11231;1;8;NA;8;8;8
11245;14;7.86;1.17;10;6;8
11325;3;9.33;0.58;10;9;9
11362;4;7.75;1.89;9;5;8.5
11400;8;7.75;1.16;10;6;8
11435;1;10;NA;10;10;10
11451;2;8;0;8;8;8
11456;1;5;NA;5;5;5
11517;1;10;NA;10;10;10
11521;1;10;NA;10;10;10
11529;4;6.5;0.58;7;6;6.5
11532;2;7.5;0.71;8;7;7.5
11601;11;8.64;2.38;10;4;10
11621;3;7.33;2.52;10;5;7
11629;3;8.33;1.53;10;7;8
11638;4;7.75;1.5;10;7;7
11657;5;5.8;1.3;7;4;6
11676;697;7.72;1.86;10;1;8
11687;2;10;0;10;10;10
11690;1;7;NA;7;7;7
11708;3;7.33;1.53;9;6;7
11709;2;8.5;2.12;10;7;8.5
11718;9;8.11;0.93;10;7;8
11724;6;7.67;0.82;9;7;7.5
11788;2;7.5;2.12;9;6;7.5
11832;3;7.67;1.53;9;6;8
11916;3;8;1.73;9;6;9
11924;1;3;NA;3;3;3
11944;6;8.17;1.83;10;6;8.5
11993;5;8.4;2.19;10;6;10
12081;1;3;NA;3;3;3
12100;7;7.43;0.53;8;7;7
12112;2;7.5;0.71;8;7;7.5
12123;6;6.5;1.22;8;5;7
12137;3;7;1;8;6;7
12154;9;6.78;0.67;8;6;7
12194;2;9;1.41;10;8;9
12202;1;10;NA;10;10;10
12209;3;9.33;1.15;10;8;10
12272;6;10;0;10;10;10
12316;2;7.5;0.71;8;7;7.5
12331;2;8;2.83;10;6;8
12348;5;5.8;3.11;9;1;6
12362;1;7;NA;7;7;7
12538;20;8.25;1.16;10;6;8
12569;5;8.4;1.82;10;6;9
12619;4;7.25;1.5;8;5;8
12641;2;7;0;7;7;7
12698;4;7.75;1.89;9;5;8.5
12702;2;8.5;2.12;10;7;8.5
12707;4;9.5;1;10;8;10
12734;1;8;NA;8;8;8
12784;7;7.14;1.57;10;5;7
12811;4;6.25;2.06;8;4;6.5
12824;8;7.38;2;10;4;8
12835;2;7;0;7;7;7
12863;3;9;1;10;8;9
12917;10;8.9;1.2;10;7;9
12945;2;7;0;7;7;7
12951;3;8;0;8;8;8
12982;15;8.2;0.68;9;7;8
12990;3;6;1.73;8;5;5
13060;2;6;0;6;6;6
13080;2;9.5;0.71;10;9;9.5
13082;6;8.17;2.4;10;4;9
13093;1;9;NA;9;9;9
13094;3;9;0;9;9;9
13126;2;6.5;0.71;7;6;6.5
13164;1;8;NA;8;8;8
13221;3;9;0;9;9;9
13223;2;6.5;2.12;8;5;6.5
13273;28;8.11;1.1;10;5;8
13279;7;7.14;2.85;10;2;7
13280;1;9;NA;9;9;9
13347;1;8;NA;8;8;8
13380;2;7.5;3.54;10;5;7.5
13518;6;6.5;0.55;7;6;6.5
13551;4;9.5;1;10;8;10
13552;47;7.89;1.49;10;2;8
13582;11;7.82;1.66;10;4;8
13600;4;7.75;1.71;10;6;7.5
13604;4;8.25;2.22;10;5;9
13664;6;7.67;1.63;10;5;8
13666;2;7.5;0.71;8;7;7.5
13682;1;9;NA;9;9;9
13709;3;9.33;1.15;10;8;10
13733;1;10;NA;10;10;10
13850;14;8.86;1.66;10;5;9.5
13935;1;7;NA;7;7;7
13973;7;5.29;3.15;10;2;5
13995;8;7.88;1.36;9;5;8
14049;3;6;4.36;9;1;8
14079;1;8;NA;8;8;8
14087;1;8;NA;8;8;8
14116;1;8;NA;8;8;8
14173;1;5;NA;5;5;5
14180;2;7.5;0.71;8;7;7.5
14201;1;7;NA;7;7;7
14281;2;6;5.66;10;2;6
14374;5;6.4;2.7;10;3;6
14387;4;8.5;0.58;9;8;8.5
14392;1;9;NA;9;9;9
14393;2;8;0;8;8;8
14422;26;7.88;1.56;10;4;8
14449;2;6.5;2.12;8;5;6.5
14451;1;5;NA;5;5;5
14456;15;8.87;1.73;10;4;10
14517;1;10;NA;10;10;10
14521;13;6.92;3.01;10;1;5
14638;1;8;NA;8;8;8
14667;7;9.43;0.79;10;8;10
14698;5;7.2;0.84;8;6;7
14744;4;8.5;0.58;9;8;8.5
14768;7;7.71;1.38;10;6;7
14808;1;9;NA;9;9;9
14897;1;8;NA;8;8;8
15021;3;6;1;7;5;6
15046;2;9;1.41;10;8;9
15049;16;8;0.82;10;6;8
15081;2;7;0;7;7;7
15093;1;7;NA;7;7;7
15135;1;5;NA;5;5;5
15144;4;5.25;2.06;8;3;5
15185;1;7;NA;7;7;7
15213;1;7;NA;7;7;7
15230;2;8.5;0.71;9;8;8.5
15408;13;7.46;1.76;9;4;8
15418;7;7.86;1.57;10;5;8
15500;4;6.25;0.5;7;6;6
15589;1;7;NA;7;7;7
15602;19;8.53;1.31;10;6;9
15651;3;10;0;10;10;10
15654;1;7;NA;7;7;7
15670;4;8;1.15;9;7;8
15686;3;3.67;2.08;6;2;3
15819;4;8;2.16;10;5;8.5
15822;2;8.5;0.71;9;8;8.5
15834;2;8;0;8;8;8
15845;6;7;2.53;9;3;8
15945;2;6.5;2.12;8;5;6.5
15957;6;7.33;2.16;9;3;8
16009;8;7.12;1.36;9;5;7.5
16010;5;7.2;1.79;9;5;7
16034;2;6;1.41;7;5;6
16036;3;7.67;2.52;10;5;8
16046;4;8.25;2.36;10;5;9
16106;15;9;1.07;10;7;9
16121;5;4.8;0.45;5;4;5
16155;4;8;0.82;9;7;8
16161;2;9;0;9;9;9
16231;3;7.67;0.58;8;7;8
16237;1;9;NA;9;9;9
16246;7;8.14;2.67;10;3;9
16263;4;6.5;1.73;8;5;6.5
16319;1;9;NA;9;9;9
16383;3;10;0;10;10;10
16417;2;7.5;0.71;8;7;7.5
16488;10;8;1.49;10;5;8
16492;1;8;NA;8;8;8
16504;7;7.86;1.77;10;5;8
16510;1;9;NA;9;9;9
16545;3;7;1.73;9;6;6
16551;4;8.25;1.26;10;7;8
16585;1;7;NA;7;7;7
16599;4;6.75;1.5;8;5;7
16601;2;8.5;0.71;9;8;8.5
16634;38;7.89;1.59;10;3;8
16666;3;6.67;2.89;10;5;5
16708;1;8;NA;8;8;8
16713;1;8;NA;8;8;8
16717;1;10;NA;10;10;10
16718;11;8.82;0.87;10;8;9
16721;3;5.67;1.15;7;5;5
16730;3;6.33;1.53;8;5;6
16749;2;7.5;0.71;8;7;7.5
16755;1;6;NA;6;6;6
16777;2;8;2.83;10;6;8
16795;168;7.8;1.56;10;2;8
16798;2;7.5;0.71;8;7;7.5
16803;2;6.5;3.54;9;4;6.5
16805;1;10;NA;10;10;10
16818;4;7;1.41;8;5;7.5
16835;1;8;NA;8;8;8
16867;1;8;NA;8;8;8
16871;2;8.5;0.71;9;8;8.5
16877;1;9;NA;9;9;9
16908;4;5.75;1.5;8;5;5
16916;15;9.8;0.77;10;7;10
16919;1;6;NA;6;6;6
16935;2;7;2.83;9;5;7
16943;2;7;1.41;8;6;7
16949;5;8.8;0.45;9;8;9
16966;8;7.25;2.25;10;3;7.5
16996;11;7.36;1.21;9;5;7
16999;3;7.33;1.15;8;6;8
17003;19;8.21;1.75;10;5;9
17046;2;9;0;9;9;9
17058;3;8;1;9;7;8
17065;1;7;NA;7;7;7
17073;1;8;NA;8;8;8
17159;4;7.25;2.87;9;3;8.5
17177;6;6.83;0.75;8;6;7
17183;7;6;0.58;7;5;6
17190;7;8.43;1.51;10;7;8
17233;5;7.8;2.28;10;4;8
17277;2;7.5;0.71;8;7;7.5
17282;5;6.6;2.3;9;3;7
17353;1;8;NA;8;8;8
17391;1;7;NA;7;7;7
17402;4;9;0.82;10;8;9
17453;1;8;NA;8;8;8
17507;1;6;NA;6;6;6
17667;9;7.78;1.39;9;5;8
17724;1;6;NA;6;6;6
17761;10;6.8;2.57;9;3;8
17763;1;8;NA;8;8;8
17859;12;8.92;1.56;10;5;9.5
17894;4;8.5;0.58;9;8;8.5
17906;4;8.5;1.29;10;7;8.5
17950;32;6.97;2.4;10;2;7.5
17970;4;6.75;1.26;8;5;7
18002;1;9;NA;9;9;9
18012;2;8.5;0.71;9;8;8.5
18016;1;8;NA;8;8;8
18067;8;6.25;2.55;9;2;7
18082;8;8.12;0.83;9;7;8
18095;2;8;0;8;8;8
18096;2;9;0;9;9;9
18155;4;7.5;1;8;6;8
18167;2;8;0;8;8;8
18172;4;9.25;0.5;10;9;9
18176;2;6.5;2.12;8;5;6.5
18203;4;7.75;2.06;10;5;8
18250;3;4;2.65;6;1;5
18254;1;9;NA;9;9;9
18309;2;7.5;2.12;9;6;7.5
18311;4;6.25;1.5;8;5;6
18316;2;6.5;2.12;8;5;6.5
18323;2;7.5;0.71;8;7;7.5
18333;2;7;0;7;7;7
18366;1;9;NA;9;9;9
18384;1;7;NA;7;7;7
18385;1;9;NA;9;9;9
18401;1;10;NA;10;10;10
18412;2;9;0;9;9;9
18429;1;9;NA;9;9;9
18439;6;8.5;1.22;10;7;8
18671;1;7;NA;7;7;7
18689;2;7;0;7;7;7
18710;1;8;NA;8;8;8
18722;1;7;NA;7;7;7
18850;2;7;1.41;8;6;7
18913;3;9;1;10;8;9
18945;2;7.5;0.71;8;7;7.5
18963;2;7;0;7;7;7
18979;5;5.8;1.3;8;5;5
18995;1;6;NA;6;6;6
19011;3;8.67;0.58;9;8;9
19018;3;7.67;4.04;10;3;10
19019;1;9;NA;9;9;9
19085;13;8.08;0.76;9;7;8
19107;2;8;2.83;10;6;8
19145;3;7.67;2.52;10;5;8
19220;1;4;NA;4;4;4
19233;4;7;2.16;9;4;7.5
19303;2;6;1.41;7;5;6
19336;6;5.83;2.64;8;1;6.5
19362;3;8;2.65;10;5;9
19422;2;7.5;0.71;8;7;7.5
19429;5;6.2;2.95;9;3;8
19493;5;9.8;0.45;10;9;10
19503;5;8.2;1.1;10;7;8
19570;5;5.6;1.95;8;3;5
19571;2;5.5;0.71;6;5;5.5
19573;11;7.55;1.97;10;5;8
19605;2;8.5;0.71;9;8;8.5
19609;1;9;NA;9;9;9
19659;2;6.5;2.12;8;5;6.5
19664;11;8.09;0.83;9;7;8
19681;2;9.5;0.71;10;9;9.5
19711;11;7.55;1.51;10;5;8
19725;1;8;NA;8;8;8
19760;3;9.67;0.58;10;9;10
19842;12;7.92;1.56;10;5;8.5
19935;2;6.5;0.71;7;6;6.5
19969;2;5;2.83;7;3;5
19970;1;9;NA;9;9;9
19972;1;8;NA;8;8;8
19974;2;7.5;0.71;8;7;7.5
20005;1;7;NA;7;7;7
20022;2;6;2.83;8;4;6
20032;2;9.5;0.71;10;9;9.5
20034;5;7.6;1.14;9;6;8
20060;25;8.04;1.97;10;2;9
20106;4;5.75;2.22;8;3;6
20115;3;10;0;10;10;10
20119;6;8.17;2.32;10;4;9
20126;1;9;NA;9;9;9
20147;4;6.5;4.12;10;2;7
20149;1;7;NA;7;7;7
20150;3;9;1;10;8;9
20172;10;9.1;1.52;10;5;9.5
20180;22;8.36;1.14;10;5;8
20201;7;9;1.29;10;7;10
20245;1;7;NA;7;7;7
20250;5;8.6;1.34;10;7;8
20254;2;9;1.41;10;8;9
20265;4;9;0.82;10;8;9
20332;2;9.5;0.71;10;9;9.5
20336;3;8;1;9;7;8
20345;1;8;NA;8;8;8
20350;3;8.33;0.58;9;8;8
20388;3;9;1;10;8;9
20401;2;6;0;6;6;6
20409;2;9.5;0.71;10;9;9.5
20418;1;7;NA;7;7;7
20448;2;8;0;8;8;8
20462;9;7.33;1.41;10;6;7
20484;3;7;1;8;6;7
20501;4;7;0;7;7;7
20561;3;9.67;0.58;10;9;10
20622;2;7.5;2.12;9;6;7.5
20627;2;9;0;9;9;9
20629;3;7;2;9;5;7
20664;1;9;NA;9;9;9
20668;1;10;NA;10;10;10
20680;8;7.25;0.46;8;7;7
20703;4;7.75;0.5;8;7;8
20751;2;6.5;2.12;8;5;6.5
20755;1;8;NA;8;8;8
20794;2;6.5;0.71;7;6;6.5
20804;3;8.67;0.58;9;8;9
20806;3;7.33;1.15;8;6;8
20916;2;10;0;10;10;10
20961;2;8;0;8;8;8
20971;6;5.83;2.86;10;2;5.5
21011;18;7.83;1.47;10;5;8
21014;77;7.57;1.52;10;3;8
21031;11;7.73;1.85;10;5;8
21049;4;7.5;1.91;10;6;7
21202;2;8.5;0.71;9;8;8.5
21207;3;9.33;0.58;10;9;9
21229;4;7.5;1;9;7;7
21252;8;7.5;1.41;10;6;7
21257;1;8;NA;8;8;8
21261;1;8;NA;8;8;8
21264;3;6;1;7;5;6
21356;8;6;0.93;7;5;6
21364;6;6.83;2.64;9;2;7.5
21370;3;9.33;0.58;10;9;9
21404;12;7.5;1.17;9;5;8
21406;2;4.5;2.12;6;3;4.5
21462;2;5.5;2.12;7;4;5.5
21484;11;8;1.26;10;6;8
21540;4;7.25;2.99;10;3;8
21575;1;4;NA;4;4;4
21576;17;7.82;1.07;10;6;8
21593;1;8;NA;8;8;8
21618;10;7.8;1.23;10;6;8
21659;13;8.62;1.85;10;4;10
21660;3;8;1;9;7;8
21708;2;7;4.24;10;4;7
21750;1;8;NA;8;8;8
21860;2;7;0;7;7;7
21870;4;8.5;1;9;7;9
21875;4;8.5;1.29;10;7;8.5
21895;3;8;2;10;6;8
21903;5;6.4;2.19;10;5;5
21912;2;7.5;0.71;8;7;7.5
21930;4;4.75;2.63;7;1;5.5
21948;3;7.33;0.58;8;7;7
22012;2;5;2.83;7;3;5
22045;10;9.1;1.2;10;7;10
22062;2;8;0;8;8;8
22074;20;8.1;1.29;10;5;9
22089;1;5;NA;5;5;5
22107;5;9.8;0.45;10;9;10
22121;3;7.33;0.58;8;7;7
22126;1;9;NA;9;9;9
22154;1;10;NA;10;10;10
22167;3;7.33;0.58;8;7;7
22200;1;10;NA;10;10;10
22252;10;7.4;2.99;10;1;8
22338;4;8;0.82;9;7;8
22362;1;9;NA;9;9;9
22365;6;9.17;0.75;10;8;9
22409;1;10;NA;10;10;10
22464;1;8;NA;8;8;8
22495;2;8;2.83;10;6;8
22503;1;7;NA;7;7;7
22521;8;8.38;2.67;10;2;9
22605;1;7;NA;7;7;7
22624;2;7.5;0.71;8;7;7.5
22625;41;9.41;0.84;10;6;10
22657;1;7;NA;7;7;7
22695;4;8.75;0.96;10;8;8.5
22773;4;8.25;1.26;10;7;8
22780;1;9;NA;9;9;9
22809;1;10;NA;10;10;10
22813;6;8.83;0.75;10;8;9
22818;7;8.43;1.72;10;6;9
22830;1;7;NA;7;7;7
22888;1;10;NA;10;10;10
22912;2;8.5;0.71;9;8;8.5
22936;3;9.67;0.58;10;9;10
22975;1;10;NA;10;10;10
23020;6;9.83;0.41;10;9;10
23065;1;8;NA;8;8;8
23128;3;7.33;0.58;8;7;7
23231;2;6;1.41;7;5;6
23280;1;10;NA;10;10;10
23288;3;7.33;0.58;8;7;7
23408;1;5;NA;5;5;5
23459;3;7.33;2.08;9;5;8
23511;14;9.14;1.75;10;4;10
23547;9;8.11;1.45;10;5;8
23571;13;9.15;1.57;10;5;10
23582;3;7.67;0.58;8;7;8
23619;4;7.75;1.71;10;6;7.5
23624;4;7;2.45;10;5;6.5
23631;1;8;NA;8;8;8
23642;1;6;NA;6;6;6
23652;5;6.4;1.14;8;5;6
23659;2;8;0;8;8;8
23664;2;8.5;2.12;10;7;8.5
23680;7;7.71;2.56;10;5;9
23699;9;9.11;1.17;10;7;10
23714;1;10;NA;10;10;10
23768;21;7.14;1.35;9;4;8
23771;3;6;1;7;5;6
23847;2;5;0;5;5;5
23871;4;9.75;0.5;10;9;10
23872;37;8.22;1.9;10;3;8
23881;2;6;1.41;7;5;6
23902;43;7.88;1.52;10;5;8
23933;7;6.57;1.13;8;5;7
24052;3;7;2.65;9;4;8
24082;1;9;NA;9;9;9
24090;3;6.67;3.21;9;3;8
24105;2;8.5;2.12;10;7;8.5
24145;1;8;NA;8;8;8
24186;5;8.2;1.79;9;5;9
24188;1;10;NA;10;10;10
24191;1;7;NA;7;7;7
24193;2;4;1.41;5;3;4
24194;7;8.29;1.25;10;6;8
24217;1;8;NA;8;8;8
24325;4;7.75;0.96;9;7;7.5
24348;1;5;NA;5;5;5
